prefecture,city,prefectureAndCity,latitude,longitude
愛知県,"名古屋市, 千種区","愛知県, 名古屋市, 千種区",35.166486,136.946434
愛知県,"名古屋市, 東区","愛知県, 名古屋市, 東区",35.179325,136.925993
愛知県,"名古屋市, 北区","愛知県, 名古屋市, 北区",35.194206,136.911519
愛知県,"名古屋市, 西区","愛知県, 名古屋市, 西区",35.189117,136.890033
愛知県,"名古屋市, 中村区","愛知県, 名古屋市, 中村区",35.168747,136.873015
愛知県,"名古屋市, 中区","愛知県, 名古屋市, 中区",35.168707,136.910251
愛知県,"名古屋市, 昭和区","愛知県, 名古屋市, 昭和区",35.150199,136.934124
愛知県,"名古屋市, 瑞穂区","愛知県, 名古屋市, 瑞穂区",35.131441,136.934961
愛知県,"名古屋市, 熱田区","愛知県, 名古屋市, 熱田区",35.128545,136.91028
愛知県,"名古屋市, 中川区","愛知県, 名古屋市, 中川区",35.141539,136.854793
愛知県,"名古屋市, 港区","愛知県, 名古屋市, 港区",35.107772,136.885567
愛知県,"名古屋市, 南区","愛知県, 名古屋市, 南区",35.095169,136.931242
愛知県,"名古屋市, 守山区","愛知県, 名古屋市, 守山区",35.203335,136.976314
愛知県,"名古屋市, 緑区","愛知県, 名古屋市, 緑区",35.070805,136.952238
愛知県,"名古屋市, 名東区","愛知県, 名古屋市, 名東区",35.175848,137.010183
愛知県,"名古屋市, 天白区","愛知県, 名古屋市, 天白区",35.122671,136.974982
愛知県,豊橋市,"愛知県, 豊橋市",34.7692,137.391466
愛知県,岡崎市,"愛知県, 岡崎市",34.954379,137.174329
愛知県,一宮市,"愛知県, 一宮市",35.30389,136.802933
愛知県,瀬戸市,"愛知県, 瀬戸市",35.223614,137.084171
愛知県,半田市,"愛知県, 半田市",34.891718,136.937961
愛知県,春日井市,"愛知県, 春日井市",35.247611,136.972224
愛知県,豊川市,"愛知県, 豊川市",34.826851,137.375542
愛知県,津島市,"愛知県, 津島市",35.177029,136.741214
愛知県,碧南市,"愛知県, 碧南市",34.884804,136.993375
愛知県,刈谷市,"愛知県, 刈谷市",34.989225,137.002107
愛知県,豊田市,"愛知県, 豊田市",35.082395,137.156249
愛知県,安城市,"愛知県, 安城市",34.958641,137.080297
愛知県,西尾市,"愛知県, 西尾市",34.861937,137.06185
愛知県,蒲郡市,"愛知県, 蒲郡市",34.8265,137.219516
愛知県,犬山市,"愛知県, 犬山市",35.378607,136.944564
愛知県,常滑市,"愛知県, 常滑市",34.8867,136.832397
愛知県,江南市,"愛知県, 江南市",35.332011,136.870617
愛知県,小牧市,"愛知県, 小牧市",35.29031,136.910952
愛知県,稲沢市,"愛知県, 稲沢市",35.248132,136.780202
愛知県,新城市,"愛知県, 新城市",34.899229,137.498476
愛知県,東海市,"愛知県, 東海市",35.022843,136.90253
愛知県,大府市,"愛知県, 大府市",35.011657,136.963835
愛知県,知多市,"愛知県, 知多市",34.996533,136.864755
愛知県,知立市,"愛知県, 知立市",35.001272,137.050749
愛知県,尾張旭市,"愛知県, 尾張旭市",35.216513,137.035396
愛知県,高浜市,"愛知県, 高浜市",34.927643,136.987677
愛知県,岩倉市,"愛知県, 岩倉市",35.279503,136.871431
愛知県,豊明市,"愛知県, 豊明市",35.053688,137.012997
愛知県,日進市,"愛知県, 日進市",35.132015,137.039412
愛知県,田原市,"愛知県, 田原市",34.668806,137.264203
愛知県,愛西市,"愛知県, 愛西市",35.153141,136.7281
愛知県,清須市,"愛知県, 清須市",35.203381,136.865521
愛知県,北名古屋市,"愛知県, 北名古屋市",35.245668,136.866008
愛知県,弥富市,"愛知県, 弥富市",35.110018,136.724739
愛知県,みよし市,"愛知県, みよし市",35.08941,137.074854
愛知県,あま市,"愛知県, あま市",35.170304,136.80083
愛知県,長久手市,"愛知県, 長久手市",35.184126,137.048762
愛知県,"愛知郡, 東郷町","愛知県, 愛知郡, 東郷町",35.096748,137.052553
愛知県,"西春日井郡, 豊山町","愛知県, 西春日井郡, 豊山町",35.250474,136.912006
愛知県,"丹羽郡, 大口町","愛知県, 丹羽郡, 大口町",35.332436,136.90767
愛知県,"丹羽郡, 扶桑町","愛知県, 丹羽郡, 扶桑町",35.35914,136.913079
愛知県,"海部郡, 大治町","愛知県, 海部郡, 大治町",35.175078,136.820095
愛知県,"海部郡, 蟹江町","愛知県, 海部郡, 蟹江町",35.132331,136.786746
愛知県,"海部郡, 飛島村","愛知県, 海部郡, 飛島村",35.078848,136.791078
愛知県,"知多郡, 阿久比町","愛知県, 知多郡, 阿久比町",34.932611,136.915554
愛知県,"知多郡, 東浦町","愛知県, 知多郡, 東浦町",34.977094,136.965622
愛知県,"知多郡, 南知多町","愛知県, 知多郡, 南知多町",34.715167,136.92997
愛知県,"知多郡, 美浜町","愛知県, 知多郡, 美浜町",34.778815,136.908237
愛知県,"知多郡, 武豊町","愛知県, 知多郡, 武豊町",34.851134,136.914803
愛知県,"額田郡, 幸田町","愛知県, 額田郡, 幸田町",34.864442,137.165617
愛知県,"北設楽郡, 設楽町","愛知県, 北設楽郡, 設楽町",35.097219,137.571445
愛知県,"北設楽郡, 東栄町","愛知県, 北設楽郡, 東栄町",35.076939,137.697837
愛知県,"北設楽郡, 豊根村","愛知県, 北設楽郡, 豊根村",35.146738,137.7197
