prefecture,city,prefectureAndCity,latitude,longitude
秋田県,秋田市,"秋田県, 秋田市",39.720008,140.102564
秋田県,能代市,"秋田県, 能代市",40.212151,140.026624
秋田県,横手市,"秋田県, 横手市",39.313782,140.566649
秋田県,大館市,"秋田県, 大館市",40.271405,140.564285
秋田県,男鹿市,"秋田県, 男鹿市",39.886818,139.847558
秋田県,湯沢市,"秋田県, 湯沢市",39.164304,140.495663
秋田県,鹿角市,"秋田県, 鹿角市",40.215778,140.788436
秋田県,由利本荘市,"秋田県, 由利本荘市",39.385877,140.048791
秋田県,潟上市,"秋田県, 潟上市",39.857288,140.013054
秋田県,大仙市,"秋田県, 大仙市",39.453088,140.475448
秋田県,北秋田市,"秋田県, 北秋田市",40.226054,140.370742
秋田県,にかほ市,"秋田県, にかほ市",39.203012,139.907713
秋田県,仙北市,"秋田県, 仙北市",39.700069,140.730588
秋田県,"鹿角郡, 小坂町","秋田県, 鹿角郡, 小坂町",40.333092,140.736081
秋田県,"北秋田郡, 上小阿仁村","秋田県, 北秋田郡, 上小阿仁村",40.063266,140.295767
秋田県,"山本郡, 藤里町","秋田県, 山本郡, 藤里町",40.27836,140.261704
秋田県,"山本郡, 三種町","秋田県, 山本郡, 三種町",40.101626,140.004748
秋田県,"山本郡, 八峰町","秋田県, 山本郡, 八峰町",40.318724,140.038648
秋田県,"南秋田郡, 五城目町","秋田県, 南秋田郡, 五城目町",39.943892,140.111306
秋田県,"南秋田郡, 八郎潟町","秋田県, 南秋田郡, 八郎潟町",39.949382,140.073318
秋田県,"南秋田郡, 井川町","秋田県, 南秋田郡, 井川町",39.914169,140.081294
秋田県,"南秋田郡, 大潟村","秋田県, 南秋田郡, 大潟村",40.017792,139.960067
秋田県,"仙北郡, 美郷町","秋田県, 仙北郡, 美郷町",39.461905,140.581299
秋田県,"雄勝郡, 羽後町","秋田県, 雄勝郡, 羽後町",39.199323,140.412923
秋田県,"雄勝郡, 東成瀬村","秋田県, 雄勝郡, 東成瀬村",39.179183,140.64889
