prefecture,city,prefectureAndCity,latitude,longitude
青森県,青森市,"青森県, 青森市",40.822072,140.747365
青森県,弘前市,"青森県, 弘前市",40.603124,140.463922
青森県,八戸市,"青森県, 八戸市",40.512284,141.488399
青森県,黒石市,"青森県, 黒石市",40.642632,140.594645
青森県,五所川原市,"青森県, 五所川原市",40.808002,140.44009
青森県,十和田市,"青森県, 十和田市",40.612703,141.205908
青森県,三沢市,"青森県, 三沢市",40.683134,141.368976
青森県,むつ市,"青森県, むつ市",41.292746,141.183476
青森県,つがる市,"青森県, つがる市",40.808639,140.380059
青森県,平川市,"青森県, 平川市",40.584011,140.566478
青森県,"東津軽郡, 平内町","青森県, 東津軽郡, 平内町",40.926031,140.95592
青森県,"東津軽郡, 今別町","青森県, 東津軽郡, 今別町",41.181757,140.481654
青森県,"東津軽郡, 蓬田村","青森県, 東津軽郡, 蓬田村",40.971714,140.655966
青森県,"東津軽郡, 外ヶ浜町","青森県, 東津軽郡, 外ヶ浜町",41.043159,140.632296
青森県,"西津軽郡, 鰺ヶ沢町","青森県, 西津軽郡, 鰺ヶ沢町",40.779913,140.208695
青森県,"西津軽郡, 深浦町","青森県, 西津軽郡, 深浦町",40.647895,139.927375
青森県,"中津軽郡, 西目屋村","青森県, 中津軽郡, 西目屋村",40.576709,140.296288
青森県,"南津軽郡, 藤崎町","青森県, 南津軽郡, 藤崎町",40.656069,140.502811
青森県,"南津軽郡, 大鰐町","青森県, 南津軽郡, 大鰐町",40.518188,140.567828
青森県,"南津軽郡, 田舎館村","青森県, 南津軽郡, 田舎館村",40.631252,140.550116
青森県,"北津軽郡, 板柳町","青森県, 北津軽郡, 板柳町",40.695894,140.457324
青森県,"北津軽郡, 鶴田町","青森県, 北津軽郡, 鶴田町",40.758605,140.428382
青森県,"北津軽郡, 中泊町","青森県, 北津軽郡, 中泊町",40.965179,140.43984
青森県,"上北郡, 野辺地町","青森県, 上北郡, 野辺地町",40.864469,141.128757
青森県,"上北郡, 七戸町","青森県, 上北郡, 七戸町",40.697416,141.151021
青森県,"上北郡, 六戸町","青森県, 上北郡, 六戸町",40.609521,141.324949
青森県,"上北郡, 横浜町","青森県, 上北郡, 横浜町",41.083147,141.247793
青森県,"上北郡, 東北町","青森県, 上北郡, 東北町",40.727876,141.257882
青森県,"上北郡, 六ヶ所村","青森県, 上北郡, 六ヶ所村",40.967344,141.374552
青森県,"上北郡, おいらせ町","青森県, 上北郡, おいらせ町",40.599107,141.397797
青森県,"下北郡, 大間町","青森県, 下北郡, 大間町",41.526771,140.907438
青森県,"下北郡, 東通村","青森県, 下北郡, 東通村",41.277787,141.328936
青森県,"下北郡, 風間浦村","青森県, 下北郡, 風間浦村",41.487574,140.995729
青森県,"下北郡, 佐井村","青森県, 下北郡, 佐井村",41.429706,140.859129
青森県,"三戸郡, 三戸町","青森県, 三戸郡, 三戸町",40.378407,141.258745
青森県,"三戸郡, 五戸町","青森県, 三戸郡, 五戸町",40.531225,141.30779
青森県,"三戸郡, 田子町","青森県, 三戸郡, 田子町",40.339962,141.15205
青森県,"三戸郡, 南部町","青森県, 三戸郡, 南部町",40.466593,141.381986
青森県,"三戸郡, 階上町","青森県, 三戸郡, 階上町",40.452489,141.620851
青森県,"三戸郡, 新郷村","青森県, 三戸郡, 新郷村",40.465626,141.173464
