prefecture,city,prefectureAndCity,latitude,longitude
千葉県,"千葉市, 中央区","千葉県, 千葉市, 中央区",35.608932,140.124636
千葉県,"千葉市, 花見川区","千葉県, 千葉市, 花見川区",35.662977,140.069167
千葉県,"千葉市, 稲毛区","千葉県, 千葉市, 稲毛区",35.636212,140.107083
千葉県,"千葉市, 若葉区","千葉県, 千葉市, 若葉区",35.633988,140.155661
千葉県,"千葉市, 緑区","千葉県, 千葉市, 緑区",35.560459,140.176164
千葉県,"千葉市, 美浜区","千葉県, 千葉市, 美浜区",35.640485,140.06304
千葉県,銚子市,"千葉県, 銚子市",35.734681,140.826641
千葉県,市川市,"千葉県, 市川市",35.721912,139.93101
千葉県,船橋市,"千葉県, 船橋市",35.694706,139.982618
千葉県,館山市,"千葉県, 館山市",34.996506,139.869965
千葉県,木更津市,"千葉県, 木更津市",35.381227,139.92486
千葉県,松戸市,"千葉県, 松戸市",35.787649,139.903093
千葉県,野田市,"千葉県, 野田市",35.955192,139.874764
千葉県,茂原市,"千葉県, 茂原市",35.428544,140.288027
千葉県,成田市,"千葉県, 成田市",35.776608,140.318781
千葉県,佐倉市,"千葉県, 佐倉市",35.723486,140.223964
千葉県,東金市,"千葉県, 東金市",35.559944,140.366092
千葉県,旭市,"千葉県, 旭市",35.720434,140.646469
千葉県,習志野市,"千葉県, 習志野市",35.683035,140.024365
千葉県,柏市,"千葉県, 柏市",35.867612,139.97585
千葉県,勝浦市,"千葉県, 勝浦市",35.152283,140.320932
千葉県,市原市,"千葉県, 市原市",35.497838,140.115665
千葉県,流山市,"千葉県, 流山市",35.85631,139.90266
千葉県,八千代市,"千葉県, 八千代市",35.722468,140.099772
千葉県,我孫子市,"千葉県, 我孫子市",35.864123,140.028225
千葉県,鴨川市,"千葉県, 鴨川市",35.113987,140.098711
千葉県,鎌ケ谷市,"千葉県, 鎌ケ谷市",35.77675,140.00079
千葉県,君津市,"千葉県, 君津市",35.33045,139.902677
千葉県,富津市,"千葉県, 富津市",35.30412,139.857105
千葉県,浦安市,"千葉県, 浦安市",35.653984,139.902203
千葉県,四街道市,"千葉県, 四街道市",35.669816,140.167925
千葉県,袖ケ浦市,"千葉県, 袖ケ浦市",35.429808,139.95443
千葉県,八街市,"千葉県, 八街市",35.665917,140.317952
千葉県,印西市,"千葉県, 印西市",35.832348,140.145815
千葉県,白井市,"千葉県, 白井市",35.7915,140.056372
千葉県,富里市,"千葉県, 富里市",35.726808,140.343058
千葉県,南房総市,"千葉県, 南房総市",35.042991,139.840128
千葉県,匝瑳市,"千葉県, 匝瑳市",35.707917,140.564281
千葉県,香取市,"千葉県, 香取市",35.897735,140.499268
千葉県,山武市,"千葉県, 山武市",35.602964,140.413506
千葉県,いすみ市,"千葉県, いすみ市",35.253889,140.385051
千葉県,大網白里市,"千葉県, 大網白里市",35.521708,140.32096
千葉県,"印旛郡, 酒々井町","千葉県, 印旛郡, 酒々井町",35.724824,140.269547
千葉県,"印旛郡, 栄町","千葉県, 印旛郡, 栄町",35.840784,140.243831
千葉県,"香取郡, 神崎町","千葉県, 香取郡, 神崎町",35.901602,140.405285
千葉県,"香取郡, 多古町","千葉県, 香取郡, 多古町",35.735434,140.467728
千葉県,"香取郡, 東庄町","千葉県, 香取郡, 東庄町",35.83715,140.668581
千葉県,"山武郡, 九十九里町","千葉県, 山武郡, 九十九里町",35.535062,140.44025
千葉県,"山武郡, 芝山町","千葉県, 山武郡, 芝山町",35.693056,140.414194
千葉県,"山武郡, 横芝光町","千葉県, 山武郡, 横芝光町",35.665568,140.504309
千葉県,"長生郡, 一宮町","千葉県, 長生郡, 一宮町",35.372623,140.368659
千葉県,"長生郡, 睦沢町","千葉県, 長生郡, 睦沢町",35.361088,140.319273
千葉県,"長生郡, 長生村","千葉県, 長生郡, 長生村",35.412184,140.35406
千葉県,"長生郡, 白子町","千葉県, 長生郡, 白子町",35.45434,140.374234
千葉県,"長生郡, 長柄町","千葉県, 長生郡, 長柄町",35.431125,140.227059
千葉県,"長生郡, 長南町","千葉県, 長生郡, 長南町",35.386421,140.237065
千葉県,"夷隅郡, 大多喜町","千葉県, 夷隅郡, 大多喜町",35.285191,140.245439
千葉県,"夷隅郡, 御宿町","千葉県, 夷隅郡, 御宿町",35.191506,140.348796
千葉県,"安房郡, 鋸南町","千葉県, 安房郡, 鋸南町",35.111159,139.835509
