prefecture,city,prefectureAndCity,latitude,longitude
愛媛県,松山市,"愛媛県, 松山市",33.839157,132.765575
愛媛県,今治市,"愛媛県, 今治市",34.066098,132.99786
愛媛県,宇和島市,"愛媛県, 宇和島市",33.22334,132.560557
愛媛県,八幡浜市,"愛媛県, 八幡浜市",33.462898,132.423336
愛媛県,新居浜市,"愛媛県, 新居浜市",33.96029,133.283351
愛媛県,西条市,"愛媛県, 西条市",33.919511,133.18117
愛媛県,大洲市,"愛媛県, 大洲市",33.506194,132.544509
愛媛県,伊予市,"愛媛県, 伊予市",33.757429,132.703729
愛媛県,四国中央市,"愛媛県, 四国中央市",33.980761,133.549195
愛媛県,西予市,"愛媛県, 西予市",33.36262,132.510992
愛媛県,東温市,"愛媛県, 東温市",33.791024,132.872296
愛媛県,"越智郡, 上島町","愛媛県, 越智郡, 上島町",34.257336,133.204507
愛媛県,"上浮穴郡, 久万高原町","愛媛県, 上浮穴郡, 久万高原町",33.655606,132.901671
愛媛県,"伊予郡, 松前町","愛媛県, 伊予郡, 松前町",33.78744,132.711375
愛媛県,"伊予郡, 砥部町","愛媛県, 伊予郡, 砥部町",33.749263,132.792228
愛媛県,"喜多郡, 内子町","愛媛県, 喜多郡, 内子町",33.532902,132.658007
愛媛県,"西宇和郡, 伊方町","愛媛県, 西宇和郡, 伊方町",33.488574,132.354012
愛媛県,"北宇和郡, 松野町","愛媛県, 北宇和郡, 松野町",33.227189,132.710799
愛媛県,"北宇和郡, 鬼北町","愛媛県, 北宇和郡, 鬼北町",33.255857,132.684104
愛媛県,"南宇和郡, 愛南町","愛媛県, 南宇和郡, 愛南町",32.962164,132.583324
