prefecture,city,prefectureAndCity,latitude,longitude
福井県,福井市,"福井県, 福井市",36.064067,136.219494
福井県,敦賀市,"福井県, 敦賀市",35.645244,136.055441
福井県,小浜市,"福井県, 小浜市",35.495593,135.746644
福井県,大野市,"福井県, 大野市",35.979814,136.487564
福井県,勝山市,"福井県, 勝山市",36.060945,136.500584
福井県,鯖江市,"福井県, 鯖江市",35.956553,136.184474
福井県,あわら市,"福井県, あわら市",36.211353,136.229025
福井県,越前市,"福井県, 越前市",35.903499,136.16878
福井県,坂井市,"福井県, 坂井市",36.166925,136.231457
福井県,"吉田郡, 永平寺町","福井県, 吉田郡, 永平寺町",36.092256,136.298706
福井県,"今立郡, 池田町","福井県, 今立郡, 池田町",35.890472,136.343907
福井県,"南条郡, 南越前町","福井県, 南条郡, 南越前町",35.835164,136.194465
福井県,"丹生郡, 越前町","福井県, 丹生郡, 越前町",35.974208,136.129743
福井県,"三方郡, 美浜町","福井県, 三方郡, 美浜町",35.60053,135.940543
福井県,"大飯郡, 高浜町","福井県, 大飯郡, 高浜町",35.490428,135.55099
福井県,"大飯郡, おおい町","福井県, 大飯郡, おおい町",35.481166,135.617828
福井県,"三方上中郡, 若狭町","福井県, 三方上中郡, 若狭町",35.461888,135.857211
