prefecture,city,prefectureAndCity,latitude,longitude
福岡県,"北九州市, 門司区","福岡県, 北九州市, 門司区",33.941138,130.959663
福岡県,"北九州市, 若松区","福岡県, 北九州市, 若松区",33.905476,130.811143
福岡県,"北九州市, 戸畑区","福岡県, 北九州市, 戸畑区",33.893508,130.829814
福岡県,"北九州市, 小倉北区","福岡県, 北九州市, 小倉北区",33.880882,130.873419
福岡県,"北九州市, 小倉南区","福岡県, 北九州市, 小倉南区",33.846525,130.884811
福岡県,"北九州市, 八幡東区","福岡県, 北九州市, 八幡東区",33.863444,130.811863
福岡県,"北九州市, 八幡西区","福岡県, 北九州市, 八幡西区",33.866465,130.764923
福岡県,"福岡市, 東区","福岡県, 福岡市, 東区",33.617746,130.417391
福岡県,"福岡市, 博多区","福岡県, 福岡市, 博多区",33.591358,130.414878
福岡県,"福岡市, 中央区","福岡県, 福岡市, 中央区",33.589216,130.392813
福岡県,"福岡市, 南区","福岡県, 福岡市, 南区",33.561569,130.426428
福岡県,"福岡市, 西区","福岡県, 福岡市, 西区",33.582939,130.323119
福岡県,"福岡市, 城南区","福岡県, 福岡市, 城南区",33.575686,130.369976
福岡県,"福岡市, 早良区","福岡県, 福岡市, 早良区",33.581941,130.348436
福岡県,大牟田市,"福岡県, 大牟田市",33.030262,130.445985
福岡県,久留米市,"福岡県, 久留米市",33.319287,130.508374
福岡県,直方市,"福岡県, 直方市",33.744184,130.729633
福岡県,飯塚市,"福岡県, 飯塚市",33.645908,130.691511
福岡県,田川市,"福岡県, 田川市",33.638982,130.806298
福岡県,柳川市,"福岡県, 柳川市",33.163089,130.405753
福岡県,八女市,"福岡県, 八女市",33.211967,130.557908
福岡県,筑後市,"福岡県, 筑後市",33.212447,130.502093
福岡県,大川市,"福岡県, 大川市",33.206594,130.383958
福岡県,行橋市,"福岡県, 行橋市",33.728773,130.982967
福岡県,豊前市,"福岡県, 豊前市",33.611511,131.130051
福岡県,中間市,"福岡県, 中間市",33.81665,130.709077
福岡県,小郡市,"福岡県, 小郡市",33.396416,130.555438
福岡県,筑紫野市,"福岡県, 筑紫野市",33.496342,130.515657
福岡県,春日市,"福岡県, 春日市",33.532571,130.470281
福岡県,大野城市,"福岡県, 大野城市",33.536307,130.478641
福岡県,宗像市,"福岡県, 宗像市",33.805431,130.540718
福岡県,太宰府市,"福岡県, 太宰府市",33.512799,130.523906
福岡県,古賀市,"福岡県, 古賀市",33.728787,130.469987
福岡県,福津市,"福岡県, 福津市",33.786866,130.469886
福岡県,うきは市,"福岡県, うきは市",33.347297,130.754934
福岡県,宮若市,"福岡県, 宮若市",33.723568,130.666694
福岡県,嘉麻市,"福岡県, 嘉麻市",33.560662,130.766817
福岡県,朝倉市,"福岡県, 朝倉市",33.423413,130.665573
福岡県,みやま市,"福岡県, みやま市",33.152425,130.47472
福岡県,糸島市,"福岡県, 糸島市",33.55732,130.195555
福岡県,"筑紫郡, 那珂川町","福岡県, 筑紫郡, 那珂川町",33.4996,130.422174
福岡県,"糟屋郡, 宇美町","福岡県, 糟屋郡, 宇美町",33.567779,130.511112
福岡県,"糟屋郡, 篠栗町","福岡県, 糟屋郡, 篠栗町",33.623948,130.526256
福岡県,"糟屋郡, 志免町","福岡県, 糟屋郡, 志免町",33.591473,130.479743
福岡県,"糟屋郡, 須恵町","福岡県, 糟屋郡, 須恵町",33.587268,130.507254
福岡県,"糟屋郡, 新宮町","福岡県, 糟屋郡, 新宮町",33.715295,130.446566
福岡県,"糟屋郡, 久山町","福岡県, 糟屋郡, 久山町",33.646809,130.499834
福岡県,"糟屋郡, 粕屋町","福岡県, 糟屋郡, 粕屋町",33.610743,130.480523
福岡県,"遠賀郡, 芦屋町","福岡県, 遠賀郡, 芦屋町",33.893801,130.663896
福岡県,"遠賀郡, 水巻町","福岡県, 遠賀郡, 水巻町",33.854748,130.694847
福岡県,"遠賀郡, 岡垣町","福岡県, 遠賀郡, 岡垣町",33.853599,130.611104
福岡県,"遠賀郡, 遠賀町","福岡県, 遠賀郡, 遠賀町",33.848151,130.668438
福岡県,"鞍手郡, 小竹町","福岡県, 鞍手郡, 小竹町",33.6925,130.712771
福岡県,"鞍手郡, 鞍手町","福岡県, 鞍手郡, 鞍手町",33.792218,130.673975
福岡県,"嘉穂郡, 桂川町","福岡県, 嘉穂郡, 桂川町",33.578933,130.677904
福岡県,"朝倉郡, 筑前町","福岡県, 朝倉郡, 筑前町",33.456977,130.5953
福岡県,東峰村,"福岡県, 東峰村",33.464292,130.825892
福岡県,"三井郡, 大刀洗町","福岡県, 三井郡, 大刀洗町",33.372372,130.62248
福岡県,"三潴郡, 大木町","福岡県, 三潴郡, 大木町",33.210469,130.439733
福岡県,"八女郡, 広川町","福岡県, 八女郡, 広川町",33.241553,130.551505
福岡県,"田川郡, 香春町","福岡県, 田川郡, 香春町",33.667933,130.847335
福岡県,"田川郡, 添田町","福岡県, 田川郡, 添田町",33.571855,130.853955
福岡県,"田川郡, 糸田町","福岡県, 田川郡, 糸田町",33.652789,130.779091
福岡県,"田川郡, 川崎町","福岡県, 田川郡, 川崎町",33.59994,130.814937
福岡県,"田川郡, 大任町","福岡県, 田川郡, 大任町",33.612478,130.853714
福岡県,"田川郡, 赤村","福岡県, 田川郡, 赤村",33.616592,130.871035
福岡県,"田川郡, 福智町","福岡県, 田川郡, 福智町",33.683261,130.780121
福岡県,"京都郡, 苅田町","福岡県, 京都郡, 苅田町",33.775921,130.98051
福岡県,"京都郡, みやこ町","福岡県, 京都郡, みやこ町",33.699262,130.920401
福岡県,"築上郡, 吉富町","福岡県, 築上郡, 吉富町",33.602643,131.175948
福岡県,"築上郡, 上毛町","福岡県, 築上郡, 上毛町",33.578408,131.164113
福岡県,"築上郡, 築上町","福岡県, 築上郡, 築上町",33.656112,131.056063
