prefecture,city,prefectureAndCity,latitude,longitude
福島県,福島市,"福島県, 福島市",37.760834,140.474728
福島県,会津若松市,"福島県, 会津若松市",37.494761,139.92981
福島県,郡山市,"福島県, 郡山市",37.400529,140.359742
福島県,いわき市,"福島県, いわき市",37.05042,140.887682
福島県,白河市,"福島県, 白河市",37.126362,140.210943
福島県,須賀川市,"福島県, 須賀川市",37.292893,140.356975
福島県,喜多方市,"福島県, 喜多方市",37.651355,139.874609
福島県,相馬市,"福島県, 相馬市",37.796624,140.91947
福島県,二本松市,"福島県, 二本松市",37.584858,140.431129
福島県,田村市,"福島県, 田村市",37.44055,140.576422
福島県,南相馬市,"福島県, 南相馬市",37.642161,140.957276
福島県,伊達市,"福島県, 伊達市",37.819138,140.562908
福島県,本宮市,"福島県, 本宮市",37.513131,140.39389
福島県,"伊達郡, 桑折町","福島県, 伊達郡, 桑折町",37.849537,140.516352
福島県,"伊達郡, 国見町","福島県, 伊達郡, 国見町",37.837,140.549185
福島県,"伊達郡, 川俣町","福島県, 伊達郡, 川俣町",37.663922,140.597333
福島県,"安達郡, 大玉村","福島県, 安達郡, 大玉村",37.534392,140.371189
福島県,"岩瀬郡, 鏡石町","福島県, 岩瀬郡, 鏡石町",37.25283,140.343408
福島県,"岩瀬郡, 天栄村","福島県, 岩瀬郡, 天栄村",37.255606,140.247074
福島県,"南会津郡, 下郷町","福島県, 南会津郡, 下郷町",37.25558,139.872128
福島県,"南会津郡, 檜枝岐村","福島県, 南会津郡, 檜枝岐村",37.024146,139.388945
福島県,"南会津郡, 只見町","福島県, 南会津郡, 只見町",37.348801,139.316091
福島県,"南会津郡, 南会津町","福島県, 南会津郡, 南会津町",37.200395,139.773199
福島県,"耶麻郡, 北塩原村","福島県, 耶麻郡, 北塩原村",37.655715,139.937374
福島県,"耶麻郡, 西会津町","福島県, 耶麻郡, 西会津町",37.588798,139.647495
福島県,"耶麻郡, 磐梯町","福島県, 耶麻郡, 磐梯町",37.562115,139.98878
福島県,"耶麻郡, 猪苗代町","福島県, 耶麻郡, 猪苗代町",37.557768,140.104761
福島県,"河沼郡, 会津坂下町","福島県, 河沼郡, 会津坂下町",37.561481,139.821643
福島県,"河沼郡, 湯川村","福島県, 河沼郡, 湯川村",37.565299,139.886778
福島県,"河沼郡, 柳津町","福島県, 河沼郡, 柳津町",37.52616,139.719542
福島県,"大沼郡, 三島町","福島県, 大沼郡, 三島町",37.470369,139.644447
福島県,"大沼郡, 金山町","福島県, 大沼郡, 金山町",37.453851,139.524298
福島県,"大沼郡, 昭和村","福島県, 大沼郡, 昭和村",37.335416,139.61066
福島県,"大沼郡, 会津美里町","福島県, 大沼郡, 会津美里町",37.459854,139.841178
福島県,"西白河郡, 西郷村","福島県, 西白河郡, 西郷村",37.141696,140.155364
福島県,"西白河郡, 泉崎村","福島県, 西白河郡, 泉崎村",37.157052,140.295252
福島県,"西白河郡, 中島村","福島県, 西白河郡, 中島村",37.148757,140.350204
福島県,"西白河郡, 矢吹町","福島県, 西白河郡, 矢吹町",37.201278,140.338608
福島県,"東白川郡, 棚倉町","福島県, 東白川郡, 棚倉町",37.029905,140.379648
福島県,"東白川郡, 矢祭町","福島県, 東白川郡, 矢祭町",36.871403,140.424783
福島県,"東白川郡, 塙町","福島県, 東白川郡, 塙町",36.957437,140.409573
福島県,"東白川郡, 鮫川村","福島県, 東白川郡, 鮫川村",37.042327,140.509669
福島県,"石川郡, 石川町","福島県, 石川郡, 石川町",37.14433,140.452351
福島県,"石川郡, 玉川村","福島県, 石川郡, 玉川村",37.210706,140.409038
福島県,"石川郡, 平田村","福島県, 石川郡, 平田村",37.221786,140.575876
福島県,"石川郡, 浅川町","福島県, 石川郡, 浅川町",37.080995,140.412809
福島県,"石川郡, 古殿町","福島県, 石川郡, 古殿町",37.089093,140.555649
福島県,"田村郡, 三春町","福島県, 田村郡, 三春町",37.441048,140.492569
福島県,"田村郡, 小野町","福島県, 田村郡, 小野町",37.286823,140.626277
福島県,"双葉郡, 広野町","福島県, 双葉郡, 広野町",37.214559,140.994458
福島県,"双葉郡, 楢葉町","福島県, 双葉郡, 楢葉町",37.2825,140.993611
福島県,"双葉郡, 富岡町","福島県, 双葉郡, 富岡町",37.333056,141.016944
福島県,"双葉郡, 川内村","福島県, 双葉郡, 川内村",37.337691,140.809345
福島県,"双葉郡, 大熊町","福島県, 双葉郡, 大熊町",37.404444,140.983611
福島県,"双葉郡, 双葉町","福島県, 双葉郡, 双葉町",37.449167,141.0125
福島県,"双葉郡, 浪江町","福島県, 双葉郡, 浪江町",37.483333,141
福島県,"双葉郡, 葛尾村","福島県, 双葉郡, 葛尾村",37.503611,140.764444
福島県,"相馬郡, 新地町","福島県, 相馬郡, 新地町",37.876357,140.919599
福島県,"相馬郡, 飯舘村","福島県, 相馬郡, 飯舘村",37.67919,140.735247
