prefecture,city,prefectureAndCity,latitude,longitude
岐阜県,岐阜市,"岐阜県, 岐阜市",35.423298,136.760654
岐阜県,大垣市,"岐阜県, 大垣市",35.359384,136.61275
岐阜県,高山市,"岐阜県, 高山市",36.146124,137.252173
岐阜県,多治見市,"岐阜県, 多治見市",35.3328,137.132077
岐阜県,関市,"岐阜県, 関市",35.495738,136.917842
岐阜県,中津川市,"岐阜県, 中津川市",35.487548,137.500509
岐阜県,美濃市,"岐阜県, 美濃市",35.54477,136.90754
岐阜県,瑞浪市,"岐阜県, 瑞浪市",35.361712,137.254587
岐阜県,羽島市,"岐阜県, 羽島市",35.31991,136.703349
岐阜県,恵那市,"岐阜県, 恵那市",35.449314,137.412808
岐阜県,美濃加茂市,"岐阜県, 美濃加茂市",35.440242,137.015664
岐阜県,土岐市,"岐阜県, 土岐市",35.3525,137.183202
岐阜県,各務原市,"岐阜県, 各務原市",35.398869,136.848264
岐阜県,可児市,"岐阜県, 可児市",35.426121,137.061011
岐阜県,山県市,"岐阜県, 山県市",35.506109,136.781372
岐阜県,瑞穂市,"岐阜県, 瑞穂市",35.404094,136.649774
岐阜県,飛騨市,"岐阜県, 飛騨市",36.238124,137.186317
岐阜県,本巣市,"岐阜県, 本巣市",35.483047,136.678766
岐阜県,郡上市,"岐阜県, 郡上市",35.748577,136.964354
岐阜県,下呂市,"岐阜県, 下呂市",35.805882,137.2441
岐阜県,海津市,"岐阜県, 海津市",35.220492,136.636662
岐阜県,"羽島郡, 岐南町","岐阜県, 羽島郡, 岐南町",35.389722,136.783317
岐阜県,"羽島郡, 笠松町","岐阜県, 羽島郡, 笠松町",35.3672,136.763167
岐阜県,"養老郡, 養老町","岐阜県, 養老郡, 養老町",35.308333,136.561555
岐阜県,"不破郡, 垂井町","岐阜県, 不破郡, 垂井町",35.370254,136.527102
岐阜県,"不破郡, 関ケ原町","岐阜県, 不破郡, 関ケ原町",35.365517,136.466982
岐阜県,"安八郡, 神戸町","岐阜県, 安八郡, 神戸町",35.417368,136.608459
岐阜県,"安八郡, 輪之内町","岐阜県, 安八郡, 輪之内町",35.285108,136.637435
岐阜県,"安八郡, 安八町","岐阜県, 安八郡, 安八町",35.335391,136.665409
岐阜県,"揖斐郡, 揖斐川町","岐阜県, 揖斐郡, 揖斐川町",35.487309,136.568653
岐阜県,"揖斐郡, 大野町","岐阜県, 揖斐郡, 大野町",35.470614,136.627552
岐阜県,"揖斐郡, 池田町","岐阜県, 揖斐郡, 池田町",35.442259,136.572926
岐阜県,"本巣郡, 北方町","岐阜県, 本巣郡, 北方町",35.436948,136.685967
岐阜県,"加茂郡, 坂祝町","岐阜県, 加茂郡, 坂祝町",35.426662,136.985459
岐阜県,"加茂郡, 富加町","岐阜県, 加茂郡, 富加町",35.484883,136.979824
岐阜県,"加茂郡, 川辺町","岐阜県, 加茂郡, 川辺町",35.486579,137.070608
岐阜県,"加茂郡, 七宗町","岐阜県, 加茂郡, 七宗町",35.543724,137.119833
岐阜県,"加茂郡, 八百津町","岐阜県, 加茂郡, 八百津町",35.475952,137.141502
岐阜県,"加茂郡, 白川町","岐阜県, 加茂郡, 白川町",35.581859,137.187824
岐阜県,"加茂郡, 東白川村","岐阜県, 加茂郡, 東白川村",35.642561,137.323751
岐阜県,"可児郡, 御嵩町","岐阜県, 可児郡, 御嵩町",35.434245,137.13079
岐阜県,"大野郡, 白川村","岐阜県, 大野郡, 白川村",36.270806,136.898478
