prefecture,city,prefectureAndCity,latitude,longitude
群馬県,前橋市,"群馬県, 前橋市",36.389482,139.063428
群馬県,高崎市,"群馬県, 高崎市",36.321909,139.003294
群馬県,桐生市,"群馬県, 桐生市",36.405491,139.330688
群馬県,伊勢崎市,"群馬県, 伊勢崎市",36.311364,139.19677
群馬県,太田市,"群馬県, 太田市",36.291122,139.375471
群馬県,沼田市,"群馬県, 沼田市",36.646077,139.044161
群馬県,館林市,"群馬県, 館林市",36.244849,139.541968
群馬県,渋川市,"群馬県, 渋川市",36.489471,139.000448
群馬県,藤岡市,"群馬県, 藤岡市",36.258477,139.074439
群馬県,富岡市,"群馬県, 富岡市",36.259896,138.889932
群馬県,安中市,"群馬県, 安中市",36.326368,138.887324
群馬県,みどり市,"群馬県, みどり市",36.394838,139.281135
群馬県,"北群馬郡, 榛東村","群馬県, 北群馬郡, 榛東村",36.438642,138.967118
群馬県,"北群馬郡, 吉岡町","群馬県, 北群馬郡, 吉岡町",36.447501,139.009766
群馬県,"多野郡, 上野村","群馬県, 多野郡, 上野村",36.083143,138.777376
群馬県,"多野郡, 神流町","群馬県, 多野郡, 神流町",36.116056,138.916955
群馬県,"甘楽郡, 下仁田町","群馬県, 甘楽郡, 下仁田町",36.21239,138.789094
群馬県,"甘楽郡, 南牧村","群馬県, 甘楽郡, 南牧村",36.158548,138.711406
群馬県,"甘楽郡, 甘楽町","群馬県, 甘楽郡, 甘楽町",36.242954,138.921682
群馬県,"吾妻郡, 中之条町","群馬県, 吾妻郡, 中之条町",36.589893,138.840986
群馬県,"吾妻郡, 長野原町","群馬県, 吾妻郡, 長野原町",36.552446,138.637477
群馬県,"吾妻郡, 嬬恋村","群馬県, 吾妻郡, 嬬恋村",36.516874,138.530182
群馬県,"吾妻郡, 草津町","群馬県, 吾妻郡, 草津町",36.620778,138.596053
群馬県,"吾妻郡, 高山村","群馬県, 吾妻郡, 高山村",36.620887,138.943449
群馬県,"吾妻郡, 東吾妻町","群馬県, 吾妻郡, 東吾妻町",36.571347,138.825472
群馬県,"利根郡, 片品村","群馬県, 利根郡, 片品村",36.772469,139.225243
群馬県,"利根郡, 川場村","群馬県, 利根郡, 川場村",36.694669,139.106534
群馬県,"利根郡, 昭和村","群馬県, 利根郡, 昭和村",36.639753,139.065865
群馬県,"利根郡, みなかみ町","群馬県, 利根郡, みなかみ町",36.6787,138.999064
群馬県,"佐波郡, 玉村町","群馬県, 佐波郡, 玉村町",36.304433,139.114913
群馬県,"邑楽郡, 板倉町","群馬県, 邑楽郡, 板倉町",36.222952,139.610271
群馬県,"邑楽郡, 明和町","群馬県, 邑楽郡, 明和町",36.2113,139.534244
群馬県,"邑楽郡, 千代田町","群馬県, 邑楽郡, 千代田町",36.217754,139.442435
群馬県,"邑楽郡, 大泉町","群馬県, 邑楽郡, 大泉町",36.247902,139.40487
群馬県,"邑楽郡, 邑楽町","群馬県, 邑楽郡, 邑楽町",36.252394,139.462286
