prefecture,city,prefectureAndCity,latitude,longitude
広島県,"広島市, 中区","広島県, 広島市, 中区",34.386245,132.455018
広島県,"広島市, 東区","広島県, 広島市, 東区",34.39548,132.482429
広島県,"広島市, 南区","広島県, 広島市, 南区",34.379979,132.469033
広島県,"広島市, 西区","広島県, 広島市, 西区",34.393972,132.434421
広島県,"広島市, 安佐南区","広島県, 広島市, 安佐南区",34.451844,132.47163
広島県,"広島市, 安佐北区","広島県, 広島市, 安佐北区",34.518373,132.507753
広島県,"広島市, 安芸区","広島県, 広島市, 安芸区",34.371728,132.525417
広島県,"広島市, 佐伯区","広島県, 広島市, 佐伯区",34.364446,132.36084
広島県,呉市,"広島県, 呉市",34.249254,132.565805
広島県,竹原市,"広島県, 竹原市",34.341794,132.907088
広島県,三原市,"広島県, 三原市",34.397433,133.078658
広島県,尾道市,"広島県, 尾道市",34.408876,133.204889
広島県,福山市,"広島県, 福山市",34.485899,133.362313
広島県,府中市,"広島県, 府中市",34.568347,133.236321
広島県,三次市,"広島県, 三次市",34.805574,132.851674
広島県,庄原市,"広島県, 庄原市",34.857732,133.017277
広島県,大竹市,"広島県, 大竹市",34.237977,132.222475
広島県,東広島市,"広島県, 東広島市",34.42638,132.743307
広島県,廿日市市,"広島県, 廿日市市",34.348258,132.331622
広島県,安芸高田市,"広島県, 安芸高田市",34.666307,132.704299
広島県,江田島市,"広島県, 江田島市",34.223002,132.443855
広島県,"安芸郡, 府中町","広島県, 安芸郡, 府中町",34.392486,132.50458
広島県,"安芸郡, 海田町","広島県, 安芸郡, 海田町",34.372164,132.536089
広島県,"安芸郡, 熊野町","広島県, 安芸郡, 熊野町",34.335736,132.584637
広島県,"安芸郡, 坂町","広島県, 安芸郡, 坂町",34.34124,132.513703
広島県,"山県郡, 安芸太田町","広島県, 山県郡, 安芸太田町",34.576745,132.227141
広島県,"山県郡, 北広島町","広島県, 山県郡, 北広島町",34.674558,132.538416
広島県,"豊田郡, 大崎上島町","広島県, 豊田郡, 大崎上島町",34.269633,132.915086
広島県,"世羅郡, 世羅町","広島県, 世羅郡, 世羅町",34.586828,133.056651
広島県,"神石郡, 神石高原町","広島県, 神石郡, 神石高原町",34.703661,133.247652
