prefecture,city,prefectureAndCity,latitude,longitude
北海道,"札幌市, 中央区","北海道, 札幌市, 中央区",43.05546,141.340956
北海道,"札幌市, 北区","北海道, 札幌市, 北区",43.09085,141.340831
北海道,"札幌市, 東区","北海道, 札幌市, 東区",43.076069,141.363722
北海道,"札幌市, 白石区","北海道, 札幌市, 白石区",43.047687,141.405078
北海道,"札幌市, 豊平区","北海道, 札幌市, 豊平区",43.031291,141.380106
北海道,"札幌市, 南区","北海道, 札幌市, 南区",42.990031,141.353497
北海道,"札幌市, 西区","北海道, 札幌市, 西区",43.07447,141.300889
北海道,"札幌市, 厚別区","北海道, 札幌市, 厚別区",43.036408,141.474789
北海道,"札幌市, 手稲区","北海道, 札幌市, 手稲区",43.121944,141.245632
北海道,"札幌市, 清田区","北海道, 札幌市, 清田区",42.999636,141.44383
北海道,函館市,"北海道, 函館市",41.768793,140.72881
北海道,小樽市,"北海道, 小樽市",43.190717,140.994662
北海道,旭川市,"北海道, 旭川市",43.770636,142.364819
北海道,室蘭市,"北海道, 室蘭市",42.315231,140.973799
北海道,釧路市,"北海道, 釧路市",42.984854,144.381356
北海道,帯広市,"北海道, 帯広市",42.923899,143.196103
北海道,北見市,"北海道, 北見市",43.804031,143.895876
北海道,夕張市,"北海道, 夕張市",43.056734,141.973896
北海道,岩見沢市,"北海道, 岩見沢市",43.196206,141.775933
北海道,網走市,"北海道, 網走市",44.020632,144.273398
北海道,留萌市,"北海道, 留萌市",43.940987,141.637012
北海道,苫小牧市,"北海道, 苫小牧市",42.634302,141.605372
北海道,稚内市,"北海道, 稚内市",45.415664,141.673082
北海道,美唄市,"北海道, 美唄市",43.332881,141.853785
北海道,芦別市,"北海道, 芦別市",43.518166,142.189436
北海道,江別市,"北海道, 江別市",43.103745,141.536247
北海道,赤平市,"北海道, 赤平市",43.558074,142.044211
北海道,紋別市,"北海道, 紋別市",44.356484,143.354503
北海道,士別市,"北海道, 士別市",44.178734,142.400404
北海道,名寄市,"北海道, 名寄市",44.355938,142.463167
北海道,三笠市,"北海道, 三笠市",43.245435,141.875327
北海道,根室市,"北海道, 根室市",43.330076,145.58279
北海道,千歳市,"北海道, 千歳市",42.820958,141.650876
北海道,滝川市,"北海道, 滝川市",43.557795,141.91019
北海道,砂川市,"北海道, 砂川市",43.494843,141.903465
北海道,歌志内市,"北海道, 歌志内市",43.521353,142.034568
北海道,深川市,"北海道, 深川市",43.72326,142.053538
北海道,富良野市,"北海道, 富良野市",43.34214,142.383225
北海道,登別市,"北海道, 登別市",42.41276,141.106632
北海道,恵庭市,"北海道, 恵庭市",42.882562,141.577815
北海道,伊達市,"北海道, 伊達市",42.471851,140.864679
