prefecture,city,prefectureAndCity,latitude,longitude
兵庫県,"神戸市, 東灘区","兵庫県, 神戸市, 東灘区",34.720228,135.265455
兵庫県,"神戸市, 灘区","兵庫県, 神戸市, 灘区",34.712329,135.239657
兵庫県,"神戸市, 兵庫区","兵庫県, 神戸市, 兵庫区",34.680578,135.165291
兵庫県,"神戸市, 長田区","兵庫県, 神戸市, 長田区",34.665638,135.151026
兵庫県,"神戸市, 須磨区","兵庫県, 神戸市, 須磨区",34.658633,135.1337
兵庫県,"神戸市, 垂水区","兵庫県, 神戸市, 垂水区",34.630252,135.056766
兵庫県,"神戸市, 北区","兵庫県, 神戸市, 北区",34.727317,135.14444
兵庫県,"神戸市, 中央区","兵庫県, 神戸市, 中央区",34.695124,135.197852
兵庫県,"神戸市, 西区","兵庫県, 神戸市, 西区",34.683239,134.981602
兵庫県,姫路市,"兵庫県, 姫路市",34.815149,134.685353
兵庫県,尼崎市,"兵庫県, 尼崎市",34.733734,135.406376
兵庫県,明石市,"兵庫県, 明石市",34.643107,134.997179
兵庫県,西宮市,"兵庫県, 西宮市",34.737597,135.341564
兵庫県,洲本市,"兵庫県, 洲本市",34.342426,134.89562
兵庫県,芦屋市,"兵庫県, 芦屋市",34.72695,135.304162
兵庫県,伊丹市,"兵庫県, 伊丹市",34.784306,135.400947
兵庫県,相生市,"兵庫県, 相生市",34.803601,134.468066
兵庫県,豊岡市,"兵庫県, 豊岡市",35.544575,134.820181
兵庫県,加古川市,"兵庫県, 加古川市",34.75695,134.841177
兵庫県,赤穂市,"兵庫県, 赤穂市",34.754956,134.390284
兵庫県,西脇市,"兵庫県, 西脇市",34.993355,134.969189
兵庫県,宝塚市,"兵庫県, 宝塚市",34.799767,135.360073
兵庫県,三木市,"兵庫県, 三木市",34.796944,134.990197
兵庫県,高砂市,"兵庫県, 高砂市",34.766201,134.790442
兵庫県,川西市,"兵庫県, 川西市",34.830135,135.417278
兵庫県,小野市,"兵庫県, 小野市",34.853193,134.931376
兵庫県,三田市,"兵庫県, 三田市",34.889996,135.225453
兵庫県,加西市,"兵庫県, 加西市",34.927936,134.841622
兵庫県,篠山市,"兵庫県, 篠山市",35.075661,135.219051
兵庫県,養父市,"兵庫県, 養父市",35.404657,134.767671
兵庫県,丹波市,"兵庫県, 丹波市",35.1771,135.035854
兵庫県,南あわじ市,"兵庫県, 南あわじ市",34.29448,134.779855
兵庫県,朝来市,"兵庫県, 朝来市",35.339665,134.85315
兵庫県,淡路市,"兵庫県, 淡路市",34.439699,134.915016
兵庫県,宍粟市,"兵庫県, 宍粟市",35.004417,134.549466
兵庫県,加東市,"兵庫県, 加東市",34.918573,134.973381
兵庫県,たつの市,"兵庫県, たつの市",34.857863,134.54536
兵庫県,"川辺郡, 猪名川町","兵庫県, 川辺郡, 猪名川町",34.895037,135.376162
兵庫県,"多可郡, 多可町","兵庫県, 多可郡, 多可町",35.050335,134.923275
兵庫県,"加古郡, 稲美町","兵庫県, 加古郡, 稲美町",34.748807,134.913551
兵庫県,"加古郡, 播磨町","兵庫県, 加古郡, 播磨町",34.715299,134.867912
兵庫県,"神崎郡, 市川町","兵庫県, 神崎郡, 市川町",34.989368,134.763317
兵庫県,"神崎郡, 福崎町","兵庫県, 神崎郡, 福崎町",34.950302,134.760248
兵庫県,"神崎郡, 神河町","兵庫県, 神崎郡, 神河町",35.064226,134.739831
兵庫県,"揖保郡, 太子町","兵庫県, 揖保郡, 太子町",34.833264,134.572255
兵庫県,"赤穂郡, 上郡町","兵庫県, 赤穂郡, 上郡町",34.873563,134.356098
兵庫県,"佐用郡, 佐用町","兵庫県, 佐用郡, 佐用町",35.004346,134.355734
兵庫県,"美方郡, 香美町","兵庫県, 美方郡, 香美町",35.632186,134.629178
兵庫県,"美方郡, 新温泉町","兵庫県, 美方郡, 新温泉町",35.623481,134.448939
