prefecture,city,prefectureAndCity,latitude,longitude
茨城県,水戸市,"茨城県, 水戸市",36.366503,140.470996
茨城県,日立市,"茨城県, 日立市",36.599154,140.651469
茨城県,土浦市,"茨城県, 土浦市",36.078297,140.204333
茨城県,古河市,"茨城県, 古河市",36.184645,139.702525
茨城県,石岡市,"茨城県, 石岡市",36.190048,140.287556
茨城県,結城市,"茨城県, 結城市",36.305417,139.876641
茨城県,龍ヶ崎市,"茨城県, 龍ヶ崎市",35.911594,140.182264
茨城県,下妻市,"茨城県, 下妻市",36.184514,139.967374
茨城県,常総市,"茨城県, 常総市",36.023494,139.993617
茨城県,常陸太田市,"茨城県, 常陸太田市",36.538275,140.53095
茨城県,高萩市,"茨城県, 高萩市",36.719147,140.716688
茨城県,北茨城市,"茨城県, 北茨城市",36.801911,140.750979
茨城県,笠間市,"茨城県, 笠間市",36.3453,140.304354
茨城県,取手市,"茨城県, 取手市",35.911442,140.050468
茨城県,牛久市,"茨城県, 牛久市",35.979375,140.149524
茨城県,つくば市,"茨城県, つくば市",36.083486,140.076642
茨城県,ひたちなか市,"茨城県, ひたちなか市",36.396615,140.534676
茨城県,鹿嶋市,"茨城県, 鹿嶋市",35.965756,140.644813
茨城県,潮来市,"茨城県, 潮来市",35.947123,140.555372
茨城県,守谷市,"茨城県, 守谷市",35.951421,139.975391
茨城県,常陸大宮市,"茨城県, 常陸大宮市",36.542577,140.41089
茨城県,那珂市,"茨城県, 那珂市",36.457469,140.486854
茨城県,筑西市,"茨城県, 筑西市",36.307053,139.983123
茨城県,坂東市,"茨城県, 坂東市",36.048738,139.88832
茨城県,稲敷市,"茨城県, 稲敷市",35.956492,140.323908
茨城県,かすみがうら市,"茨城県, かすみがうら市",36.094529,140.330691
茨城県,桜川市,"茨城県, 桜川市",36.32725,140.090433
茨城県,神栖市,"茨城県, 神栖市",35.889966,140.664513
茨城県,行方市,"茨城県, 行方市",35.990416,140.489025
茨城県,鉾田市,"茨城県, 鉾田市",36.15864,140.516461
茨城県,つくばみらい市,"茨城県, つくばみらい市",35.963024,140.03702
茨城県,小美玉市,"茨城県, 小美玉市",36.239345,140.352576
茨城県,"東茨城郡, 茨城町","茨城県, 東茨城郡, 茨城町",36.286921,140.424514
茨城県,"東茨城郡, 大洗町","茨城県, 東茨城郡, 大洗町",36.313443,140.574974
茨城県,"東茨城郡, 城里町","茨城県, 東茨城郡, 城里町",36.479363,140.376166
茨城県,"那珂郡, 東海村","茨城県, 那珂郡, 東海村",36.47288,140.566299
茨城県,"久慈郡, 大子町","茨城県, 久慈郡, 大子町",36.768096,140.355266
茨城県,"稲敷郡, 美浦村","茨城県, 稲敷郡, 美浦村",36.004562,140.301914
茨城県,"稲敷郡, 阿見町","茨城県, 稲敷郡, 阿見町",36.030795,140.214786
茨城県,"稲敷郡, 河内町","茨城県, 稲敷郡, 河内町",35.884794,140.244465
茨城県,"結城郡, 八千代町","茨城県, 結城郡, 八千代町",36.181635,139.891129
茨城県,"猿島郡, 五霞町","茨城県, 猿島郡, 五霞町",36.114113,139.745832
茨城県,"猿島郡, 境町","茨城県, 猿島郡, 境町",36.108426,139.794961
茨城県,"北相馬郡, 利根町","茨城県, 北相馬郡, 利根町",35.857747,140.139148
