prefecture,city,prefectureAndCity,latitude,longitude
石川県,金沢市,"石川県, 金沢市",36.561325,136.656205
石川県,七尾市,"石川県, 七尾市",37.043102,136.967518
石川県,小松市,"石川県, 小松市",36.408351,136.445571
石川県,輪島市,"石川県, 輪島市",37.39059,136.899196
石川県,珠洲市,"石川県, 珠洲市",37.436347,137.260436
石川県,加賀市,"石川県, 加賀市",36.302624,136.314627
石川県,羽咋市,"石川県, 羽咋市",36.893599,136.778996
石川県,かほく市,"石川県, かほく市",36.719826,136.706727
石川県,白山市,"石川県, 白山市",36.514427,136.565892
石川県,能美市,"石川県, 能美市",36.446941,136.554242
石川県,野々市市,"石川県, 野々市市",36.519704,136.609971
石川県,"能美郡, 川北町","石川県, 能美郡, 川北町",36.46863,136.542304
石川県,"河北郡, 津幡町","石川県, 河北郡, 津幡町",36.668693,136.728442
石川県,"河北郡, 内灘町","石川県, 河北郡, 内灘町",36.653494,136.645086
石川県,"羽咋郡, 志賀町","石川県, 羽咋郡, 志賀町",37.006312,136.77801
石川県,"羽咋郡, 宝達志水町","石川県, 羽咋郡, 宝達志水町",36.862773,136.797529
石川県,"鹿島郡, 中能登町","石川県, 鹿島郡, 中能登町",36.988884,136.901832
石川県,"鳳珠郡, 穴水町","石川県, 鳳珠郡, 穴水町",37.230995,136.912475
石川県,"鳳珠郡, 能登町","石川県, 鳳珠郡, 能登町",37.353216,137.244521
