prefecture,city,prefectureAndCity,latitude,longitude
岩手県,盛岡市,"岩手県, 盛岡市",39.702053,141.154484
岩手県,宮古市,"岩手県, 宮古市",39.64142,141.95714
岩手県,大船渡市,"岩手県, 大船渡市",39.081901,141.70853
岩手県,花巻市,"岩手県, 花巻市",39.388578,141.116645
岩手県,北上市,"岩手県, 北上市",39.286765,141.113191
岩手県,久慈市,"岩手県, 久慈市",40.190524,141.775583
岩手県,遠野市,"岩手県, 遠野市",39.327838,141.533303
岩手県,一関市,"岩手県, 一関市",38.934682,141.1268
岩手県,陸前高田市,"岩手県, 陸前高田市",39.027661,141.625495
岩手県,釜石市,"岩手県, 釜石市",39.275818,141.885677
岩手県,二戸市,"岩手県, 二戸市",40.271213,141.304817
岩手県,八幡平市,"岩手県, 八幡平市",39.956477,141.071292
岩手県,奥州市,"岩手県, 奥州市",39.144529,141.139141
岩手県,滝沢市,"岩手県, 滝沢市",39.734684,141.077095
岩手県,"岩手郡, 雫石町","岩手県, 岩手郡, 雫石町",39.696288,140.975776
岩手県,"岩手郡, 葛巻町","岩手県, 岩手郡, 葛巻町",40.039896,141.436465
岩手県,"岩手郡, 岩手町","岩手県, 岩手郡, 岩手町",39.97259,141.212516
岩手県,"紫波郡, 紫波町","岩手県, 紫波郡, 紫波町",39.554568,141.155659
岩手県,"紫波郡, 矢巾町","岩手県, 紫波郡, 矢巾町",39.605981,141.142889
岩手県,"和賀郡, 西和賀町","岩手県, 和賀郡, 西和賀町",39.434621,140.750124
岩手県,"胆沢郡, 金ケ崎町","岩手県, 胆沢郡, 金ケ崎町",39.195742,141.116324
岩手県,"西磐井郡, 平泉町","岩手県, 西磐井郡, 平泉町",38.986662,141.113822
岩手県,"気仙郡, 住田町","岩手県, 気仙郡, 住田町",39.14223,141.575047
岩手県,"上閉伊郡, 大槌町","岩手県, 上閉伊郡, 大槌町",39.358231,141.899422
岩手県,"下閉伊郡, 山田町","岩手県, 下閉伊郡, 山田町",39.467662,141.94895
岩手県,"下閉伊郡, 岩泉町","岩手県, 下閉伊郡, 岩泉町",39.843042,141.796303
岩手県,"下閉伊郡, 田野畑村","岩手県, 下閉伊郡, 田野畑村",39.93045,141.888868
岩手県,"下閉伊郡, 普代村","岩手県, 下閉伊郡, 普代村",40.005167,141.885908
岩手県,"九戸郡, 軽米町","岩手県, 九戸郡, 軽米町",40.326746,141.460633
岩手県,"九戸郡, 野田村","岩手県, 九戸郡, 野田村",40.110266,141.817668
岩手県,"九戸郡, 九戸村","岩手県, 九戸郡, 九戸村",40.211392,141.418985
岩手県,"九戸郡, 洋野町","岩手県, 九戸郡, 洋野町",40.284263,141.624833
岩手県,"二戸郡, 一戸町","岩手県, 二戸郡, 一戸町",40.213011,141.295475
