prefecture,city,prefectureAndCity,latitude,longitude
香川県,高松市,"香川県, 高松市",34.342788,134.046574
香川県,丸亀市,"香川県, 丸亀市",34.289506,133.797706
香川県,坂出市,"香川県, 坂出市",34.316319,133.86051
香川県,善通寺市,"香川県, 善通寺市",34.228533,133.787113
香川県,観音寺市,"香川県, 観音寺市",34.128466,133.662811
香川県,さぬき市,"香川県, さぬき市",34.325207,134.17212
香川県,東かがわ市,"香川県, 東かがわ市",34.243809,134.358743
香川県,三豊市,"香川県, 三豊市",34.182547,133.715219
香川県,"小豆郡, 土庄町","香川県, 小豆郡, 土庄町",34.486022,134.185807
香川県,"小豆郡, 小豆島町","香川県, 小豆郡, 小豆島町",34.481998,134.233595
香川県,"木田郡, 三木町","香川県, 木田郡, 三木町",34.268284,134.134293
香川県,"香川郡, 直島町","香川県, 香川郡, 直島町",34.459703,133.995689
香川県,"綾歌郡, 宇多津町","香川県, 綾歌郡, 宇多津町",34.310298,133.825513
香川県,"綾歌郡, 綾川町","香川県, 綾歌郡, 綾川町",34.249627,133.923066
香川県,"仲多度郡, 琴平町","香川県, 仲多度郡, 琴平町",34.191417,133.823303
香川県,"仲多度郡, 多度津町","香川県, 仲多度郡, 多度津町",34.272488,133.753605
香川県,"仲多度郡, まんのう町","香川県, 仲多度郡, まんのう町",34.192329,133.841402
