prefecture,city,prefectureAndCity,latitude,longitude
鹿児島県,鹿児島市,"鹿児島県, 鹿児島市",31.596554,130.557116
鹿児島県,鹿屋市,"鹿児島県, 鹿屋市",31.378292,130.852077
鹿児島県,枕崎市,"鹿児島県, 枕崎市",31.2729,130.296904
鹿児島県,阿久根市,"鹿児島県, 阿久根市",32.01447,130.192773
鹿児島県,出水市,"鹿児島県, 出水市",32.090572,130.352753
鹿児島県,指宿市,"鹿児島県, 指宿市",31.25277,130.633031
鹿児島県,西之表市,"鹿児島県, 西之表市",30.732412,130.996835
鹿児島県,垂水市,"鹿児島県, 垂水市",31.492734,130.700914
鹿児島県,薩摩川内市,"鹿児島県, 薩摩川内市",31.813517,130.304244
鹿児島県,日置市,"鹿児島県, 日置市",31.633709,130.402425
鹿児島県,曽於市,"鹿児島県, 曽於市",31.653621,131.019391
鹿児島県,霧島市,"鹿児島県, 霧島市",31.740899,130.762997
鹿児島県,いちき串木野市,"鹿児島県, いちき串木野市",31.714553,130.271929
鹿児島県,南さつま市,"鹿児島県, 南さつま市",31.416612,130.323408
鹿児島県,志布志市,"鹿児島県, 志布志市",31.495442,131.045336
鹿児島県,奄美市,"鹿児島県, 奄美市",28.377248,129.493741
鹿児島県,南九州市,"鹿児島県, 南九州市",31.378262,130.441645
鹿児島県,伊佐市,"鹿児島県, 伊佐市",32.057225,130.613105
鹿児島県,姶良市,"鹿児島県, 姶良市",31.728228,130.627816
鹿児島県,"鹿児島郡, 三島村","鹿児島県, 鹿児島郡, 三島村",30.79217,130.303757
鹿児島県,"鹿児島郡, 十島村","鹿児島県, 鹿児島郡, 十島村",29.837598,129.868198
鹿児島県,"薩摩郡, さつま町","鹿児島県, 薩摩郡, さつま町",31.905701,130.45566
鹿児島県,"出水郡, 長島町","鹿児島県, 出水郡, 長島町",32.199375,130.176833
鹿児島県,"姶良郡, 湧水町","鹿児島県, 姶良郡, 湧水町",31.95158,130.720924
鹿児島県,"曽於郡, 大崎町","鹿児島県, 曽於郡, 大崎町",31.429201,131.005865
鹿児島県,"肝属郡, 東串良町","鹿児島県, 肝属郡, 東串良町",31.385517,130.973495
鹿児島県,"肝属郡, 錦江町","鹿児島県, 肝属郡, 錦江町",31.243566,130.787595
鹿児島県,"肝属郡, 南大隅町","鹿児島県, 肝属郡, 南大隅町",31.217263,130.768098
鹿児島県,"肝属郡, 肝付町","鹿児島県, 肝属郡, 肝付町",31.344256,130.945079
鹿児島県,"熊毛郡, 中種子町","鹿児島県, 熊毛郡, 中種子町",30.532822,130.95885
鹿児島県,"熊毛郡, 南種子町","鹿児島県, 熊毛郡, 南種子町",30.414071,130.90086
鹿児島県,"熊毛郡, 屋久島町","鹿児島県, 熊毛郡, 屋久島町",30.371299,130.666468
鹿児島県,"大島郡, 大和村","鹿児島県, 大島郡, 大和村",28.358089,129.395263
鹿児島県,"大島郡, 宇検村","鹿児島県, 大島郡, 宇検村",28.280731,129.297092
鹿児島県,"大島郡, 瀬戸内町","鹿児島県, 大島郡, 瀬戸内町",28.146402,129.314902
鹿児島県,"大島郡, 龍郷町","鹿児島県, 大島郡, 龍郷町",28.413297,129.589351
鹿児島県,"大島郡, 喜界町","鹿児島県, 大島郡, 喜界町",28.316836,129.940032
鹿児島県,"大島郡, 徳之島町","鹿児島県, 大島郡, 徳之島町",27.726592,129.018669
鹿児島県,"大島郡, 天城町","鹿児島県, 大島郡, 天城町",27.811782,128.897702
鹿児島県,"大島郡, 伊仙町","鹿児島県, 大島郡, 伊仙町",27.673547,128.937795
鹿児島県,"大島郡, 和泊町","鹿児島県, 大島郡, 和泊町",27.392287,128.655475
鹿児島県,"大島郡, 知名町","鹿児島県, 大島郡, 知名町",27.333676,128.57373
鹿児島県,"大島郡, 与論町","鹿児島県, 大島郡, 与論町",27.048527,128.414832
