prefecture,city,prefectureAndCity,latitude,longitude
神奈川県,"横浜市, 鶴見区","神奈川県, 横浜市, 鶴見区",35.508404,139.68254
神奈川県,"横浜市, 神奈川区","神奈川県, 横浜市, 神奈川区",35.476901,139.629431
神奈川県,"横浜市, 西区","神奈川県, 横浜市, 西区",35.453623,139.61696
神奈川県,"横浜市, 中区","神奈川県, 横浜市, 中区",35.444699,139.642178
神奈川県,"横浜市, 南区","神奈川県, 横浜市, 南区",35.431462,139.608837
神奈川県,"横浜市, 保土ケ谷区","神奈川県, 横浜市, 保土ケ谷区",35.459953,139.595979
神奈川県,"横浜市, 磯子区","神奈川県, 横浜市, 磯子区",35.402439,139.618433
神奈川県,"横浜市, 金沢区","神奈川県, 横浜市, 金沢区",35.33725,139.624408
神奈川県,"横浜市, 港北区","神奈川県, 横浜市, 港北区",35.519083,139.633024
神奈川県,"横浜市, 戸塚区","神奈川県, 横浜市, 戸塚区",35.400001,139.533507
神奈川県,"横浜市, 港南区","神奈川県, 横浜市, 港南区",35.40078,139.591167
神奈川県,"横浜市, 旭区","神奈川県, 横浜市, 旭区",35.474836,139.54472
神奈川県,"横浜市, 緑区","神奈川県, 横浜市, 緑区",35.512396,139.538006
神奈川県,"横浜市, 瀬谷区","神奈川県, 横浜市, 瀬谷区",35.466026,139.49886
神奈川県,"横浜市, 栄区","神奈川県, 横浜市, 栄区",35.364348,139.554076
神奈川県,"横浜市, 泉区","神奈川県, 横浜市, 泉区",35.417938,139.488722
神奈川県,"横浜市, 青葉区","神奈川県, 横浜市, 青葉区",35.552824,139.537019
神奈川県,"横浜市, 都筑区","神奈川県, 横浜市, 都筑区",35.544851,139.57053
神奈川県,"川崎市, 川崎区","神奈川県, 川崎市, 川崎区",35.529667,139.703848
神奈川県,"川崎市, 幸区","神奈川県, 川崎市, 幸区",35.544293,139.686772
神奈川県,"川崎市, 中原区","神奈川県, 川崎市, 中原区",35.576371,139.655709
神奈川県,"川崎市, 高津区","神奈川県, 川崎市, 高津区",35.599462,139.607938
神奈川県,"川崎市, 多摩区","神奈川県, 川崎市, 多摩区",35.619489,139.562127
神奈川県,"川崎市, 宮前区","神奈川県, 川崎市, 宮前区",35.589192,139.578469
神奈川県,"川崎市, 麻生区","神奈川県, 川崎市, 麻生区",35.60373,139.505747
神奈川県,"相模原市, 緑区","神奈川県, 相模原市, 緑区",35.59565,139.33771
神奈川県,"相模原市, 中央区","神奈川県, 相模原市, 中央区",35.571384,139.373246
神奈川県,"相模原市, 南区","神奈川県, 相模原市, 南区",35.530297,139.430195
神奈川県,横須賀市,"神奈川県, 横須賀市",35.281341,139.672201
神奈川県,平塚市,"神奈川県, 平塚市",35.33511,139.349476
神奈川県,鎌倉市,"神奈川県, 鎌倉市",35.319225,139.546687
神奈川県,藤沢市,"神奈川県, 藤沢市",35.33917,139.490036
神奈川県,小田原市,"神奈川県, 小田原市",35.264564,139.152154
神奈川県,茅ヶ崎市,"神奈川県, 茅ヶ崎市",35.33386,139.404716
神奈川県,逗子市,"神奈川県, 逗子市",35.295606,139.580423
神奈川県,三浦市,"神奈川県, 三浦市",35.144171,139.62077
神奈川県,秦野市,"神奈川県, 秦野市",35.374736,139.219943
神奈川県,厚木市,"神奈川県, 厚木市",35.443082,139.362489
神奈川県,大和市,"神奈川県, 大和市",35.487512,139.45795
神奈川県,伊勢原市,"神奈川県, 伊勢原市",35.402969,139.314973
神奈川県,海老名市,"神奈川県, 海老名市",35.446446,139.390803
神奈川県,座間市,"神奈川県, 座間市",35.488587,139.407673
神奈川県,南足柄市,"神奈川県, 南足柄市",35.320715,139.0996
神奈川県,綾瀬市,"神奈川県, 綾瀬市",35.437175,139.426148
神奈川県,"三浦郡, 葉山町","神奈川県, 三浦郡, 葉山町",35.272089,139.5862
神奈川県,"高座郡, 寒川町","神奈川県, 高座郡, 寒川町",35.372956,139.383861
神奈川県,"中郡, 大磯町","神奈川県, 中郡, 大磯町",35.30685,139.311314
神奈川県,"中郡, 二宮町","神奈川県, 中郡, 二宮町",35.299491,139.255402
神奈川県,"足柄上郡, 中井町","神奈川県, 足柄上郡, 中井町",35.330717,139.218774
神奈川県,"足柄上郡, 大井町","神奈川県, 足柄上郡, 大井町",35.326674,139.156577
神奈川県,"足柄上郡, 松田町","神奈川県, 足柄上郡, 松田町",35.348159,139.139375
神奈川県,"足柄上郡, 山北町","神奈川県, 足柄上郡, 山北町",35.360605,139.083831
神奈川県,"足柄上郡, 開成町","神奈川県, 足柄上郡, 開成町",35.336427,139.123183
神奈川県,"足柄下郡, 箱根町","神奈川県, 足柄下郡, 箱根町",35.232355,139.106937
神奈川県,"足柄下郡, 真鶴町","神奈川県, 足柄下郡, 真鶴町",35.158468,139.137119
神奈川県,"足柄下郡, 湯河原町","神奈川県, 足柄下郡, 湯河原町",35.147964,139.108317
神奈川県,"愛甲郡, 愛川町","神奈川県, 愛甲郡, 愛川町",35.528796,139.321717
神奈川県,"愛甲郡, 清川村","神奈川県, 愛甲郡, 清川村",35.482383,139.276382
