prefecture,city,prefectureAndCity,latitude,longitude
高知県,高知市,"高知県, 高知市",33.559587,133.529279
高知県,室戸市,"高知県, 室戸市",33.290009,134.152051
高知県,安芸市,"高知県, 安芸市",33.502546,133.907166
高知県,南国市,"高知県, 南国市",33.575671,133.64146
高知県,土佐市,"高知県, 土佐市",33.496044,133.425292
高知県,須崎市,"高知県, 須崎市",33.400745,133.282953
高知県,宿毛市,"高知県, 宿毛市",32.939009,132.726286
高知県,土佐清水市,"高知県, 土佐清水市",32.781634,132.954989
高知県,四万十市,"高知県, 四万十市",32.991384,132.933749
高知県,香南市,"高知県, 香南市",33.564171,133.700488
高知県,香美市,"高知県, 香美市",33.603719,133.686003
高知県,"安芸郡, 東洋町","高知県, 安芸郡, 東洋町",33.527937,134.279974
高知県,"安芸郡, 奈半利町","高知県, 安芸郡, 奈半利町",33.424181,134.020952
高知県,"安芸郡, 田野町","高知県, 安芸郡, 田野町",33.427708,134.008293
高知県,"安芸郡, 安田町","高知県, 安芸郡, 安田町",33.43857,133.981074
高知県,"安芸郡, 北川村","高知県, 安芸郡, 北川村",33.447694,134.042067
高知県,"安芸郡, 馬路村","高知県, 安芸郡, 馬路村",33.55535,134.048108
高知県,"安芸郡, 芸西村","高知県, 安芸郡, 芸西村",33.526901,133.808914
高知県,"長岡郡, 本山町","高知県, 長岡郡, 本山町",33.757107,133.591412
高知県,"長岡郡, 大豊町","高知県, 長岡郡, 大豊町",33.764291,133.664275
高知県,"土佐郡, 土佐町","高知県, 土佐郡, 土佐町",33.737064,133.531675
高知県,"土佐郡, 大川村","高知県, 土佐郡, 大川村",33.783926,133.466608
高知県,"吾川郡, いの町","高知県, 吾川郡, いの町",33.548754,133.427773
高知県,"吾川郡, 仁淀川町","高知県, 吾川郡, 仁淀川町",33.575245,133.168574
高知県,"高岡郡, 中土佐町","高知県, 高岡郡, 中土佐町",33.337346,133.140361
高知県,"高岡郡, 佐川町","高知県, 高岡郡, 佐川町",33.500869,133.28653
高知県,"高岡郡, 越知町","高知県, 高岡郡, 越知町",33.53292,133.251991
高知県,"高岡郡, 檮原町","高知県, 高岡郡, 檮原町",33.392246,132.926987
高知県,"高岡郡, 日高村","高知県, 高岡郡, 日高村",33.534897,133.373353
高知県,"高岡郡, 津野町","高知県, 高岡郡, 津野町",33.44658,133.199469
高知県,"高岡郡, 四万十町","高知県, 高岡郡, 四万十町",33.211653,133.137027
高知県,"幡多郡, 大月町","高知県, 幡多郡, 大月町",32.841482,132.707026
高知県,"幡多郡, 三原村","高知県, 幡多郡, 三原村",32.906013,132.847242
高知県,"幡多郡, 黒潮町","高知県, 幡多郡, 黒潮町",33.02493,133.01092
