prefecture,city,prefectureAndCity,latitude,longitude
熊本県,"熊本市, 中央区","熊本県, 熊本市, 中央区",32.803225,130.708191
熊本県,"熊本市, 東区","熊本県, 熊本市, 東区",32.780522,130.768069
熊本県,"熊本市, 西区","熊本県, 熊本市, 西区",32.776358,130.647542
熊本県,"熊本市, 南区","熊本県, 熊本市, 南区",32.715333,130.678877
熊本県,"熊本市, 北区","熊本県, 熊本市, 北区",32.903544,130.694411
熊本県,八代市,"熊本県, 八代市",32.507437,130.601743
熊本県,人吉市,"熊本県, 人吉市",32.210041,130.762554
熊本県,荒尾市,"熊本県, 荒尾市",32.986836,130.432959
熊本県,水俣市,"熊本県, 水俣市",32.21188,130.408723
熊本県,玉名市,"熊本県, 玉名市",32.93522,130.56284
熊本県,山鹿市,"熊本県, 山鹿市",33.017578,130.691365
熊本県,菊池市,"熊本県, 菊池市",32.979483,130.813333
熊本県,宇土市,"熊本県, 宇土市",32.687385,130.658521
熊本県,上天草市,"熊本県, 上天草市",32.587419,130.430527
熊本県,宇城市,"熊本県, 宇城市",32.647847,130.684365
熊本県,阿蘇市,"熊本県, 阿蘇市",32.951954,131.120955
熊本県,天草市,"熊本県, 天草市",32.458635,130.192982
熊本県,合志市,"熊本県, 合志市",32.885988,130.789707
熊本県,"下益城郡, 美里町","熊本県, 下益城郡, 美里町",32.639589,130.789026
熊本県,"玉名郡, 玉東町","熊本県, 玉名郡, 玉東町",32.9189,130.628543
熊本県,"玉名郡, 南関町","熊本県, 玉名郡, 南関町",33.06161,130.541162
熊本県,"玉名郡, 長洲町","熊本県, 玉名郡, 長洲町",32.929678,130.452808
熊本県,"玉名郡, 和水町","熊本県, 玉名郡, 和水町",32.978106,130.605835
熊本県,"菊池郡, 大津町","熊本県, 菊池郡, 大津町",32.87899,130.868223
熊本県,"菊池郡, 菊陽町","熊本県, 菊池郡, 菊陽町",32.862515,130.828623
熊本県,"阿蘇郡, 南小国町","熊本県, 阿蘇郡, 南小国町",33.09866,131.07037
熊本県,"阿蘇郡, 小国町","熊本県, 阿蘇郡, 小国町",33.121568,131.068144
熊本県,"阿蘇郡, 産山村","熊本県, 阿蘇郡, 産山村",32.99576,131.216781
熊本県,"阿蘇郡, 高森町","熊本県, 阿蘇郡, 高森町",32.827279,131.122011
熊本県,"阿蘇郡, 西原村","熊本県, 阿蘇郡, 西原村",32.834825,130.90301
熊本県,"阿蘇郡, 南阿蘇村","熊本県, 阿蘇郡, 南阿蘇村",32.821982,131.031438
熊本県,"上益城郡, 御船町","熊本県, 上益城郡, 御船町",32.714616,130.801894
熊本県,"上益城郡, 嘉島町","熊本県, 上益城郡, 嘉島町",32.740076,130.757259
熊本県,"上益城郡, 益城町","熊本県, 上益城郡, 益城町",32.79143,130.816382
熊本県,"上益城郡, 甲佐町","熊本県, 上益城郡, 甲佐町",32.651599,130.811465
熊本県,"上益城郡, 山都町","熊本県, 上益城郡, 山都町",32.685453,130.990455
熊本県,"八代郡, 氷川町","熊本県, 八代郡, 氷川町",32.5825,130.673786
熊本県,"葦北郡, 芦北町","熊本県, 葦北郡, 芦北町",32.298941,130.492978
熊本県,"葦北郡, 津奈木町","熊本県, 葦北郡, 津奈木町",32.233842,130.439583
熊本県,"球磨郡, 錦町","熊本県, 球磨郡, 錦町",32.201197,130.841115
熊本県,"球磨郡, 多良木町","熊本県, 球磨郡, 多良木町",32.263997,130.935784
熊本県,"球磨郡, 湯前町","熊本県, 球磨郡, 湯前町",32.276284,130.980902
熊本県,"球磨郡, 水上村","熊本県, 球磨郡, 水上村",32.314342,131.009546
熊本県,"球磨郡, 相良村","熊本県, 球磨郡, 相良村",32.235269,130.798095
熊本県,"球磨郡, 五木村","熊本県, 球磨郡, 五木村",32.397277,130.827816
熊本県,"球磨郡, 山江村","熊本県, 球磨郡, 山江村",32.246806,130.766675
熊本県,"球磨郡, 球磨村","熊本県, 球磨郡, 球磨村",32.252431,130.651163
熊本県,"球磨郡, あさぎり町","熊本県, 球磨郡, あさぎり町",32.240316,130.897793
熊本県,"天草郡, 苓北町","熊本県, 天草郡, 苓北町",32.513193,130.054804
