prefecture,city,prefectureAndCity,latitude,longitude
京都府,"京都市, 北区","京都府, 京都市, 北区",35.041053,135.753983
京都府,"京都市, 上京区","京都府, 京都市, 上京区",35.029618,135.756627
京都府,"京都市, 左京区","京都府, 京都市, 左京区",35.048569,135.778548
京都府,"京都市, 中京区","京都府, 京都市, 中京区",35.010425,135.751411
京都府,"京都市, 東山区","京都府, 京都市, 東山区",34.997057,135.776162
京都府,"京都市, 下京区","京都府, 京都市, 下京区",34.987655,135.755533
京都府,"京都市, 南区","京都府, 京都市, 南区",34.976661,135.746495
京都府,"京都市, 右京区","京都府, 京都市, 右京区",35.010133,135.716078
京都府,"京都市, 伏見区","京都府, 京都市, 伏見区",34.93603,135.76141
京都府,"京都市, 山科区","京都府, 京都市, 山科区",34.972336,135.813697
京都府,"京都市, 西京区","京都府, 京都市, 西京区",34.985104,135.69342
京都府,福知山市,"京都府, 福知山市",35.2967,135.126563
京都府,舞鶴市,"京都府, 舞鶴市",35.474797,135.385992
京都府,綾部市,"京都府, 綾部市",35.298916,135.258812
京都府,宇治市,"京都府, 宇治市",34.884461,135.799854
京都府,宮津市,"京都府, 宮津市",35.535577,135.195567
京都府,亀岡市,"京都府, 亀岡市",35.013408,135.573609
京都府,城陽市,"京都府, 城陽市",34.853008,135.779974
京都府,向日市,"京都府, 向日市",34.948736,135.698288
京都府,長岡京市,"京都府, 長岡京市",34.926771,135.695785
京都府,八幡市,"京都府, 八幡市",34.875555,135.707621
京都府,京田辺市,"京都府, 京田辺市",34.814459,135.767695
京都府,京丹後市,"京都府, 京丹後市",35.624166,135.061
京都府,南丹市,"京都府, 南丹市",35.107374,135.47026
京都府,木津川市,"京都府, 木津川市",34.737162,135.820117
京都府,"乙訓郡, 大山崎町","京都府, 乙訓郡, 大山崎町",34.902806,135.688476
京都府,"久世郡, 久御山町","京都府, 久世郡, 久御山町",34.8815,135.732607
京都府,"綴喜郡, 井手町","京都府, 綴喜郡, 井手町",34.798408,135.803306
京都府,"綴喜郡, 宇治田原町","京都府, 綴喜郡, 宇治田原町",34.85267,135.856855
京都府,"相楽郡, 笠置町","京都府, 相楽郡, 笠置町",34.76045,135.939366
京都府,"相楽郡, 和束町","京都府, 相楽郡, 和束町",34.79571,135.90488
京都府,"相楽郡, 精華町","京都府, 相楽郡, 精華町",34.760856,135.785833
京都府,"相楽郡, 南山城村","京都府, 相楽郡, 南山城村",34.772789,135.993537
京都府,"船井郡, 京丹波町","京都府, 船井郡, 京丹波町",35.164362,135.423055
京都府,"与謝郡, 伊根町","京都府, 与謝郡, 伊根町",35.675146,135.272639
京都府,"与謝郡, 与謝野町","京都府, 与謝郡, 与謝野町",35.565309,135.152841
