prefecture,city,prefectureAndCity,latitude,longitude
三重県,津市,"三重県, 津市",34.718596,136.505698
三重県,四日市市,"三重県, 四日市市",34.965157,136.624485
三重県,伊勢市,"三重県, 伊勢市",34.487514,136.709336
三重県,松阪市,"三重県, 松阪市",34.577993,136.527593
三重県,桑名市,"三重県, 桑名市",35.062216,136.683803
三重県,鈴鹿市,"三重県, 鈴鹿市",34.88188,136.584209
三重県,名張市,"三重県, 名張市",34.627659,136.108296
三重県,尾鷲市,"三重県, 尾鷲市",34.070799,136.190995
三重県,亀山市,"三重県, 亀山市",34.855755,136.451645
三重県,鳥羽市,"三重県, 鳥羽市",34.481435,136.843362
三重県,熊野市,"三重県, 熊野市",33.888604,136.100237
三重県,いなべ市,"三重県, いなべ市",35.115701,136.561471
三重県,志摩市,"三重県, 志摩市",34.32816,136.829691
三重県,伊賀市,"三重県, 伊賀市",34.768595,136.12991
三重県,"桑名郡, 木曽岬町","三重県, 桑名郡, 木曽岬町",35.07598,136.731328
三重県,"員弁郡, 東員町","三重県, 員弁郡, 東員町",35.074257,136.583578
三重県,"三重郡, 菰野町","三重県, 三重郡, 菰野町",35.020068,136.507344
三重県,"三重郡, 朝日町","三重県, 三重郡, 朝日町",35.03421,136.664352
三重県,"三重郡, 川越町","三重県, 三重郡, 川越町",35.023009,136.673865
三重県,"多気郡, 多気町","三重県, 多気郡, 多気町",34.496153,136.546146
三重県,"多気郡, 明和町","三重県, 多気郡, 明和町",34.54756,136.623176
三重県,"多気郡, 大台町","三重県, 多気郡, 大台町",34.393387,136.407875
三重県,"度会郡, 玉城町","三重県, 度会郡, 玉城町",34.490278,136.630929
三重県,"度会郡, 度会町","三重県, 度会郡, 度会町",34.438923,136.622466
三重県,"度会郡, 大紀町","三重県, 度会郡, 大紀町",34.358045,136.415792
三重県,"度会郡, 南伊勢町","三重県, 度会郡, 南伊勢町",34.352095,136.703689
三重県,"北牟婁郡, 紀北町","三重県, 北牟婁郡, 紀北町",34.211533,136.337313
三重県,"南牟婁郡, 御浜町","三重県, 南牟婁郡, 御浜町",33.814478,136.048724
三重県,"南牟婁郡, 紀宝町","三重県, 南牟婁郡, 紀宝町",33.733773,136.00967
