prefecture,city,prefectureAndCity,latitude,longitude
宮城県,"仙台市, 青葉区","宮城県, 仙台市, 青葉区",38.269076,140.870403
宮城県,"仙台市, 宮城野区","宮城県, 仙台市, 宮城野区",38.266139,140.909832
宮城県,"仙台市, 若林区","宮城県, 仙台市, 若林区",38.244224,140.900756
宮城県,"仙台市, 太白区","宮城県, 仙台市, 太白区",38.224348,140.877134
宮城県,"仙台市, 泉区","宮城県, 仙台市, 泉区",38.326375,140.881629
宮城県,石巻市,"宮城県, 石巻市",38.43448,141.302917
宮城県,塩竈市,"宮城県, 塩竈市",38.314362,141.022027
宮城県,気仙沼市,"宮城県, 気仙沼市",38.908078,141.569992
宮城県,白石市,"宮城県, 白石市",38.002478,140.61986
宮城県,名取市,"宮城県, 名取市",38.17152,140.891913
宮城県,角田市,"宮城県, 角田市",37.977063,140.78199
宮城県,多賀城市,"宮城県, 多賀城市",38.293839,141.004225
宮城県,岩沼市,"宮城県, 岩沼市",38.104292,140.870138
宮城県,登米市,"宮城県, 登米市",38.691923,141.187579
宮城県,栗原市,"宮城県, 栗原市",38.730128,141.021333
宮城県,東松島市,"宮城県, 東松島市",38.426168,141.210242
宮城県,大崎市,"宮城県, 大崎市",38.577071,140.95535
宮城県,"刈田郡, 蔵王町","宮城県, 刈田郡, 蔵王町",38.098164,140.658416
宮城県,"刈田郡, 七ヶ宿町","宮城県, 刈田郡, 七ヶ宿町",37.993063,140.441612
宮城県,"柴田郡, 大河原町","宮城県, 柴田郡, 大河原町",38.049493,140.730721
宮城県,"柴田郡, 村田町","宮城県, 柴田郡, 村田町",38.118539,140.722404
宮城県,"柴田郡, 柴田町","宮城県, 柴田郡, 柴田町",38.056563,140.76579
宮城県,"柴田郡, 川崎町","宮城県, 柴田郡, 川崎町",38.177737,140.643202
宮城県,"伊具郡, 丸森町","宮城県, 伊具郡, 丸森町",37.911429,140.765528
宮城県,"亘理郡, 亘理町","宮城県, 亘理郡, 亘理町",38.03746,140.852581
宮城県,"亘理郡, 山元町","宮城県, 亘理郡, 山元町",37.961668,140.877818
宮城県,"宮城郡, 松島町","宮城県, 宮城郡, 松島町",38.380128,141.067244
宮城県,"宮城郡, 七ヶ浜町","宮城県, 宮城郡, 七ヶ浜町",38.304613,141.059186
宮城県,"宮城郡, 利府町","宮城県, 宮城郡, 利府町",38.33019,140.975722
宮城県,"黒川郡, 大和町","宮城県, 黒川郡, 大和町",38.437329,140.886306
宮城県,"黒川郡, 大郷町","宮城県, 黒川郡, 大郷町",38.42426,141.004445
宮城県,"黒川郡, 富谷町","宮城県, 黒川郡, 富谷町",38.399815,140.895408
宮城県,"黒川郡, 大衡村","宮城県, 黒川郡, 大衡村",38.467226,140.880087
宮城県,"加美郡, 色麻町","宮城県, 加美郡, 色麻町",38.54892,140.849878
宮城県,"加美郡, 加美町","宮城県, 加美郡, 加美町",38.571767,140.854751
宮城県,"遠田郡, 涌谷町","宮城県, 遠田郡, 涌谷町",38.539646,141.128075
宮城県,"遠田郡, 美里町","宮城県, 遠田郡, 美里町",38.544391,141.056695
宮城県,"牡鹿郡, 女川町","宮城県, 牡鹿郡, 女川町",38.449733,141.443088
宮城県,"本吉郡, 南三陸町","宮城県, 本吉郡, 南三陸町",38.679771,141.460514
