prefecture,city,prefectureAndCity,latitude,longitude
宮崎県,宮崎市,"宮崎県, 宮崎市",31.907674,131.420241
宮崎県,都城市,"宮崎県, 都城市",31.71959,131.061621
宮崎県,延岡市,"宮崎県, 延岡市",32.582272,131.665009
宮崎県,日南市,"宮崎県, 日南市",31.601932,131.378728
宮崎県,小林市,"宮崎県, 小林市",31.996731,130.972588
宮崎県,日向市,"宮崎県, 日向市",32.422944,131.623965
宮崎県,串間市,"宮崎県, 串間市",31.464539,131.228303
宮崎県,西都市,"宮崎県, 西都市",32.108554,131.401202
宮崎県,えびの市,"宮崎県, えびの市",32.045344,130.810796
宮崎県,"北諸県郡, 三股町","宮崎県, 北諸県郡, 三股町",31.730686,131.124809
宮崎県,"西諸県郡, 高原町","宮崎県, 西諸県郡, 高原町",31.928463,131.007751
宮崎県,"東諸県郡, 国富町","宮崎県, 東諸県郡, 国富町",31.990644,131.323535
宮崎県,"東諸県郡, 綾町","宮崎県, 東諸県郡, 綾町",31.999133,131.253187
宮崎県,"児湯郡, 高鍋町","宮崎県, 児湯郡, 高鍋町",32.127999,131.503355
宮崎県,"児湯郡, 新富町","宮崎県, 児湯郡, 新富町",32.068868,131.488017
宮崎県,"児湯郡, 西米良村","宮崎県, 児湯郡, 西米良村",32.226232,131.154476
宮崎県,"児湯郡, 木城町","宮崎県, 児湯郡, 木城町",32.163969,131.473537
宮崎県,"児湯郡, 川南町","宮崎県, 児湯郡, 川南町",32.192071,131.525868
宮崎県,"児湯郡, 都農町","宮崎県, 児湯郡, 都農町",32.256293,131.559568
宮崎県,"東臼杵郡, 門川町","宮崎県, 東臼杵郡, 門川町",32.469793,131.648589
宮崎県,"東臼杵郡, 諸塚村","宮崎県, 東臼杵郡, 諸塚村",32.512387,131.330405
宮崎県,"東臼杵郡, 椎葉村","宮崎県, 東臼杵郡, 椎葉村",32.467325,131.158118
宮崎県,"東臼杵郡, 美郷町","宮崎県, 東臼杵郡, 美郷町",32.437404,131.422493
宮崎県,"西臼杵郡, 高千穂町","宮崎県, 西臼杵郡, 高千穂町",32.71169,131.307787
宮崎県,"西臼杵郡, 日之影町","宮崎県, 西臼杵郡, 日之影町",32.653816,131.388146
宮崎県,"西臼杵郡, 五ヶ瀬町","宮崎県, 西臼杵郡, 五ヶ瀬町",32.68302,131.196379
