prefecture,city,prefectureAndCity,latitude,longitude
長野県,長野市,"長野県, 長野市",36.64855,138.194243
長野県,松本市,"長野県, 松本市",36.238038,137.972034
長野県,上田市,"長野県, 上田市",36.401912,138.248889
長野県,岡谷市,"長野県, 岡谷市",36.067012,138.049326
長野県,飯田市,"長野県, 飯田市",35.514978,137.821447
長野県,諏訪市,"長野県, 諏訪市",36.039142,138.114182
長野県,須坂市,"長野県, 須坂市",36.651097,138.307192
長野県,小諸市,"長野県, 小諸市",36.327419,138.42588
長野県,伊那市,"長野県, 伊那市",35.827481,137.95408
長野県,駒ヶ根市,"長野県, 駒ヶ根市",35.728814,137.933782
長野県,中野市,"長野県, 中野市",36.742044,138.36945
長野県,大町市,"長野県, 大町市",36.503018,137.851094
長野県,飯山市,"長野県, 飯山市",36.851745,138.365495
長野県,茅野市,"長野県, 茅野市",35.995571,138.158893
長野県,塩尻市,"長野県, 塩尻市",36.114972,137.953449
長野県,佐久市,"長野県, 佐久市",36.248868,138.476831
長野県,千曲市,"長野県, 千曲市",36.533897,138.120108
長野県,東御市,"長野県, 東御市",36.359477,138.330247
長野県,安曇野市,"長野県, 安曇野市",36.303951,137.905801
長野県,"南佐久郡, 小海町","長野県, 南佐久郡, 小海町",36.095097,138.483472
長野県,"南佐久郡, 川上村","長野県, 南佐久郡, 川上村",35.975487,138.578605
長野県,"南佐久郡, 南牧村","長野県, 南佐久郡, 南牧村",36.020856,138.492091
長野県,"南佐久郡, 南相木村","長野県, 南佐久郡, 南相木村",36.035985,138.54699
長野県,"南佐久郡, 北相木村","長野県, 南佐久郡, 北相木村",36.059169,138.550883
長野県,"南佐久郡, 佐久穂町","長野県, 南佐久郡, 佐久穂町",36.161106,138.483544
長野県,"北佐久郡, 軽井沢町","長野県, 北佐久郡, 軽井沢町",36.34829,138.596955
長野県,"北佐久郡, 御代田町","長野県, 北佐久郡, 御代田町",36.321183,138.508784
長野県,"北佐久郡, 立科町","長野県, 北佐久郡, 立科町",36.27207,138.315972
長野県,"小県郡, 青木村","長野県, 小県郡, 青木村",36.370346,138.12884
長野県,"小県郡, 長和町","長野県, 小県郡, 長和町",36.255854,138.267866
長野県,"諏訪郡, 下諏訪町","長野県, 諏訪郡, 下諏訪町",36.069559,138.08017
長野県,"諏訪郡, 富士見町","長野県, 諏訪郡, 富士見町",35.914621,138.240699
長野県,"諏訪郡, 原村","長野県, 諏訪郡, 原村",35.964456,138.21772
長野県,"上伊那郡, 辰野町","長野県, 上伊那郡, 辰野町",35.982513,137.987484
長野県,"上伊那郡, 箕輪町","長野県, 上伊那郡, 箕輪町",35.915134,137.981944
長野県,"上伊那郡, 飯島町","長野県, 上伊那郡, 飯島町",35.676737,137.91968
長野県,"上伊那郡, 南箕輪村","長野県, 上伊那郡, 南箕輪村",35.8729,137.975024
長野県,"上伊那郡, 中川村","長野県, 上伊那郡, 中川村",35.634537,137.946058
長野県,"上伊那郡, 宮田村","長野県, 上伊那郡, 宮田村",35.768904,137.944307
長野県,"下伊那郡, 松川町","長野県, 下伊那郡, 松川町",35.597292,137.909567
長野県,"下伊那郡, 高森町","長野県, 下伊那郡, 高森町",35.551497,137.878437
長野県,"下伊那郡, 阿南町","長野県, 下伊那郡, 阿南町",35.32364,137.816055
長野県,"下伊那郡, 阿智村","長野県, 下伊那郡, 阿智村",35.443769,137.747505
長野県,"下伊那郡, 平谷村","長野県, 下伊那郡, 平谷村",35.323236,137.63003
長野県,"下伊那郡, 根羽村","長野県, 下伊那郡, 根羽村",35.253077,137.58126
長野県,"下伊那郡, 下條村","長野県, 下伊那郡, 下條村",35.397414,137.786051
長野県,"下伊那郡, 売木村","長野県, 下伊那郡, 売木村",35.271046,137.711313
長野県,"下伊那郡, 天龍村","長野県, 下伊那郡, 天龍村",35.276227,137.85414
長野県,"下伊那郡, 泰阜村","長野県, 下伊那郡, 泰阜村",35.377523,137.846015
長野県,"下伊那郡, 喬木村","長野県, 下伊那郡, 喬木村",35.513682,137.8737
長野県,"下伊那郡, 豊丘村","長野県, 下伊那郡, 豊丘村",35.551439,137.895975
長野県,"下伊那郡, 大鹿村","長野県, 下伊那郡, 大鹿村",35.578222,138.034017
長野県,"木曽郡, 上松町","長野県, 木曽郡, 上松町",35.784076,137.694069
長野県,"木曽郡, 南木曽町","長野県, 木曽郡, 南木曽町",35.603756,137.609016
長野県,"木曽郡, 木祖村","長野県, 木曽郡, 木祖村",35.936437,137.783301
長野県,"木曽郡, 王滝村","長野県, 木曽郡, 王滝村",35.809395,137.550969
長野県,"木曽郡, 大桑村","長野県, 木曽郡, 大桑村",35.682911,137.664918
長野県,"木曽郡, 木曽町","長野県, 木曽郡, 木曽町",35.842431,137.691508
長野県,"東筑摩郡, 麻績村","長野県, 東筑摩郡, 麻績村",36.456089,138.045289
長野県,"東筑摩郡, 生坂村","長野県, 東筑摩郡, 生坂村",36.425248,137.927383
長野県,"東筑摩郡, 山形村","長野県, 東筑摩郡, 山形村",36.168028,137.879155
長野県,"東筑摩郡, 朝日村","長野県, 東筑摩郡, 朝日村",36.12355,137.866133
長野県,"東筑摩郡, 筑北村","長野県, 東筑摩郡, 筑北村",36.402553,138.011938
長野県,"北安曇郡, 池田町","長野県, 北安曇郡, 池田町",36.421366,137.874502
長野県,"北安曇郡, 松川村","長野県, 北安曇郡, 松川村",36.424076,137.854498
長野県,"北安曇郡, 白馬村","長野県, 北安曇郡, 白馬村",36.69818,137.86185
長野県,"北安曇郡, 小谷村","長野県, 北安曇郡, 小谷村",36.779067,137.908405
長野県,"埴科郡, 坂城町","長野県, 埴科郡, 坂城町",36.46182,138.180106
長野県,"上高井郡, 小布施町","長野県, 上高井郡, 小布施町",36.697492,138.312037
長野県,"上高井郡, 高山村","長野県, 上高井郡, 高山村",36.679768,138.363255
長野県,"下高井郡, 山ノ内町","長野県, 下高井郡, 山ノ内町",36.744634,138.412596
