prefecture,city,prefectureAndCity,latitude,longitude
長崎県,長崎市,"長崎県, 長崎市",32.750286,129.877667
長崎県,佐世保市,"長崎県, 佐世保市",33.179915,129.71511
長崎県,島原市,"長崎県, 島原市",32.788103,130.370286
長崎県,諫早市,"長崎県, 諫早市",32.843438,130.053095
長崎県,大村市,"長崎県, 大村市",32.90009,129.958142
長崎県,平戸市,"長崎県, 平戸市",33.368062,129.553671
長崎県,松浦市,"長崎県, 松浦市",33.341021,129.709045
長崎県,対馬市,"長崎県, 対馬市",34.202662,129.28749
長崎県,壱岐市,"長崎県, 壱岐市",33.74995,129.691352
長崎県,五島市,"長崎県, 五島市",32.695524,128.840829
長崎県,西海市,"長崎県, 西海市",32.933067,129.642977
長崎県,雲仙市,"長崎県, 雲仙市",32.835197,130.1875
長崎県,南島原市,"長崎県, 南島原市",32.659777,130.297864
長崎県,"西彼杵郡, 長与町","長崎県, 西彼杵郡, 長与町",32.825189,129.875045
長崎県,"西彼杵郡, 時津町","長崎県, 西彼杵郡, 時津町",32.828888,129.848536
長崎県,"東彼杵郡, 東彼杵町","長崎県, 東彼杵郡, 東彼杵町",33.037026,129.917149
長崎県,"東彼杵郡, 川棚町","長崎県, 東彼杵郡, 川棚町",33.072776,129.86119
長崎県,"東彼杵郡, 波佐見町","長崎県, 東彼杵郡, 波佐見町",33.13789,129.895546
長崎県,"北松浦郡, 小値賀町","長崎県, 北松浦郡, 小値賀町",33.191081,129.058749
長崎県,"北松浦郡, 佐々町","長崎県, 北松浦郡, 佐々町",33.238342,129.650345
長崎県,"南松浦郡, 新上五島町","長崎県, 南松浦郡, 新上五島町",32.984645,129.073391
