prefecture,city,prefectureAndCity,latitude,longitude
奈良県,奈良市,"奈良県, 奈良市",34.685087,135.805
奈良県,大和高田市,"奈良県, 大和高田市",34.515046,135.736392
奈良県,大和郡山市,"奈良県, 大和郡山市",34.649374,135.782755
奈良県,天理市,"奈良県, 天理市",34.596647,135.837331
奈良県,橿原市,"奈良県, 橿原市",34.509448,135.792626
奈良県,桜井市,"奈良県, 桜井市",34.518714,135.843216
奈良県,五條市,"奈良県, 五條市",34.35203,135.693632
奈良県,御所市,"奈良県, 御所市",34.463331,135.74024
奈良県,生駒市,"奈良県, 生駒市",34.69196,135.700536
奈良県,香芝市,"奈良県, 香芝市",34.541256,135.698937
奈良県,葛城市,"奈良県, 葛城市",34.511119,135.706917
奈良県,宇陀市,"奈良県, 宇陀市",34.528029,135.952269
奈良県,"山辺郡, 山添村","奈良県, 山辺郡, 山添村",34.68128,136.0438
奈良県,"生駒郡, 平群町","奈良県, 生駒郡, 平群町",34.629174,135.700654
奈良県,"生駒郡, 三郷町","奈良県, 生駒郡, 三郷町",34.600138,135.695525
奈良県,"生駒郡, 斑鳩町","奈良県, 生駒郡, 斑鳩町",34.608849,135.730591
奈良県,"生駒郡, 安堵町","奈良県, 生駒郡, 安堵町",34.60648,135.756781
奈良県,"磯城郡, 川西町","奈良県, 磯城郡, 川西町",34.584394,135.774038
奈良県,"磯城郡, 三宅町","奈良県, 磯城郡, 三宅町",34.573698,135.773144
奈良県,"磯城郡, 田原本町","奈良県, 磯城郡, 田原本町",34.556601,135.794876
奈良県,"宇陀郡, 曽爾村","奈良県, 宇陀郡, 曽爾村",34.510647,136.124478
奈良県,"宇陀郡, 御杖村","奈良県, 宇陀郡, 御杖村",34.488389,136.165916
奈良県,"高市郡, 高取町","奈良県, 高市郡, 高取町",34.449513,135.793175
奈良県,"高市郡, 明日香村","奈良県, 高市郡, 明日香村",34.471278,135.820641
奈良県,"北葛城郡, 上牧町","奈良県, 北葛城郡, 上牧町",34.562749,135.716629
奈良県,"北葛城郡, 王寺町","奈良県, 北葛城郡, 王寺町",34.594725,135.706551
奈良県,"北葛城郡, 広陵町","奈良県, 北葛城郡, 広陵町",34.542784,135.750835
奈良県,"北葛城郡, 河合町","奈良県, 北葛城郡, 河合町",34.578472,135.736672
奈良県,"吉野郡, 吉野町","奈良県, 吉野郡, 吉野町",34.396049,135.857618
奈良県,"吉野郡, 大淀町","奈良県, 吉野郡, 大淀町",34.390562,135.789716
奈良県,"吉野郡, 下市町","奈良県, 吉野郡, 下市町",34.360981,135.791858
奈良県,"吉野郡, 黒滝村","奈良県, 吉野郡, 黒滝村",34.309307,135.852142
奈良県,"吉野郡, 天川村","奈良県, 吉野郡, 天川村",34.241909,135.855149
奈良県,"吉野郡, 野迫川村","奈良県, 吉野郡, 野迫川村",34.166257,135.633063
奈良県,"吉野郡, 十津川村","奈良県, 吉野郡, 十津川村",33.988495,135.792415
奈良県,"吉野郡, 下北山村","奈良県, 吉野郡, 下北山村",34.005038,135.955167
奈良県,"吉野郡, 上北山村","奈良県, 吉野郡, 上北山村",34.134322,135.999988
奈良県,"吉野郡, 川上村","奈良県, 吉野郡, 川上村",34.338107,135.954325
奈良県,"吉野郡, 東吉野村","奈良県, 吉野郡, 東吉野村",34.403582,135.968365
