prefecture,city,prefectureAndCity,latitude,longitude
新潟県,"新潟市, 北区","新潟県, 新潟市, 北区",37.916243,139.218588
新潟県,"新潟市, 東区","新潟県, 新潟市, 東区",37.924871,139.092591
新潟県,"新潟市, 中央区","新潟県, 新潟市, 中央区",37.916367,139.036326
新潟県,"新潟市, 江南区","新潟県, 新潟市, 江南区",37.867646,139.093983
新潟県,"新潟市, 秋葉区","新潟県, 新潟市, 秋葉区",37.788506,139.114631
新潟県,"新潟市, 南区","新潟県, 新潟市, 南区",37.765785,139.019127
新潟県,"新潟市, 西区","新潟県, 新潟市, 西区",37.874223,138.97194
新潟県,"新潟市, 西蒲区","新潟県, 新潟市, 西蒲区",37.760464,138.889284
新潟県,長岡市,"新潟県, 長岡市",37.446265,138.851277
新潟県,三条市,"新潟県, 三条市",37.636768,138.961689
新潟県,柏崎市,"新潟県, 柏崎市",37.3719,138.558984
新潟県,新発田市,"新潟県, 新発田市",37.950886,139.327892
新潟県,小千谷市,"新潟県, 小千谷市",37.314339,138.7951
新潟県,加茂市,"新潟県, 加茂市",37.666275,139.040198
新潟県,十日町市,"新潟県, 十日町市",37.127582,138.755708
新潟県,見附市,"新潟県, 見附市",37.531604,138.912825
新潟県,村上市,"新潟県, 村上市",38.223979,139.480021
新潟県,燕市,"新潟県, 燕市",37.673152,138.88223
新潟県,糸魚川市,"新潟県, 糸魚川市",37.039028,137.862652
新潟県,妙高市,"新潟県, 妙高市",37.025196,138.253473
新潟県,五泉市,"新潟県, 五泉市",37.744536,139.182568
新潟県,上越市,"新潟県, 上越市",37.147848,138.23608
新潟県,阿賀野市,"新潟県, 阿賀野市",37.834501,139.225983
新潟県,佐渡市,"新潟県, 佐渡市",38.018353,138.368082
新潟県,魚沼市,"新潟県, 魚沼市",37.244124,138.924361
新潟県,南魚沼市,"新潟県, 南魚沼市",37.161428,138.925448
新潟県,胎内市,"新潟県, 胎内市",38.059711,139.410342
新潟県,"北蒲原郡, 聖籠町","新潟県, 北蒲原郡, 聖籠町",37.974597,139.274336
新潟県,"西蒲原郡, 弥彦村","新潟県, 西蒲原郡, 弥彦村",37.691066,138.855249
新潟県,"南蒲原郡, 田上町","新潟県, 南蒲原郡, 田上町",37.698826,139.057982
新潟県,"東蒲原郡, 阿賀町","新潟県, 東蒲原郡, 阿賀町",37.675485,139.45878
新潟県,"三島郡, 出雲崎町","新潟県, 三島郡, 出雲崎町",37.530707,138.709303
新潟県,"南魚沼郡, 湯沢町","新潟県, 南魚沼郡, 湯沢町",36.934025,138.81744
新潟県,"中魚沼郡, 津南町","新潟県, 中魚沼郡, 津南町",37.014274,138.652622
新潟県,"刈羽郡, 刈羽村","新潟県, 刈羽郡, 刈羽村",37.422359,138.622442
新潟県,"岩船郡, 関川村","新潟県, 岩船郡, 関川村",38.089376,139.564918
新潟県,"岩船郡, 粟島浦村","新潟県, 岩船郡, 粟島浦村",38.468267,139.254439
