prefecture,city,prefectureAndCity,latitude,longitude
大分県,大分市,"大分県, 大分市",33.239558,131.609272
大分県,別府市,"大分県, 別府市",33.28462,131.491214
大分県,中津市,"大分県, 中津市",33.598221,131.188325
大分県,日田市,"大分県, 日田市",33.321333,130.940966
大分県,佐伯市,"大分県, 佐伯市",32.959806,131.900058
大分県,臼杵市,"大分県, 臼杵市",33.126012,131.805124
大分県,津久見市,"大分県, 津久見市",33.072183,131.861277
大分県,竹田市,"大分県, 竹田市",32.97372,131.398002
大分県,豊後高田市,"大分県, 豊後高田市",33.557229,131.444624
大分県,杵築市,"大分県, 杵築市",33.417026,131.616089
大分県,宇佐市,"大分県, 宇佐市",33.531972,131.349545
大分県,豊後大野市,"大分県, 豊後大野市",32.977536,131.584133
大分県,由布市,"大分県, 由布市",33.180013,131.426856
大分県,国東市,"大分県, 国東市",33.565313,131.731674
大分県,"東国東郡, 姫島村","大分県, 東国東郡, 姫島村",33.724537,131.645139
大分県,"速見郡, 日出町","大分県, 速見郡, 日出町",33.369443,131.532387
大分県,"玖珠郡, 九重町","大分県, 玖珠郡, 九重町",33.228519,131.188794
大分県,"玖珠郡, 玖珠町","大分県, 玖珠郡, 玖珠町",33.283132,131.15155
