prefecture,city,prefectureAndCity,latitude,longitude
岡山県,"岡山市, 北区","岡山県, 岡山市, 北区",34.65534,133.919813
岡山県,"岡山市, 中区","岡山県, 岡山市, 中区",34.670842,133.94318
岡山県,"岡山市, 東区","岡山県, 岡山市, 東区",34.651443,134.029488
岡山県,"岡山市, 南区","岡山県, 岡山市, 南区",34.599777,133.919553
岡山県,倉敷市,"岡山県, 倉敷市",34.585013,133.772084
岡山県,津山市,"岡山県, 津山市",35.069116,134.004543
岡山県,玉野市,"岡山県, 玉野市",34.491943,133.945987
岡山県,笠岡市,"岡山県, 笠岡市",34.50718,133.507441
岡山県,井原市,"岡山県, 井原市",34.597672,133.463681
岡山県,総社市,"岡山県, 総社市",34.672807,133.746528
岡山県,高梁市,"岡山県, 高梁市",34.791023,133.616733
岡山県,新見市,"岡山県, 新見市",34.97703,133.470306
岡山県,備前市,"岡山県, 備前市",34.74516,134.188044
岡山県,瀬戸内市,"岡山県, 瀬戸内市",34.664887,134.092846
岡山県,赤磐市,"岡山県, 赤磐市",34.755388,134.01884
岡山県,真庭市,"岡山県, 真庭市",35.075602,133.75273
岡山県,美作市,"岡山県, 美作市",35.008588,134.148572
岡山県,浅口市,"岡山県, 浅口市",34.527839,133.584922
岡山県,"和気郡, 和気町","岡山県, 和気郡, 和気町",34.849729,134.097923
岡山県,"都窪郡, 早島町","岡山県, 都窪郡, 早島町",34.600702,133.828354
岡山県,"浅口郡, 里庄町","岡山県, 浅口郡, 里庄町",34.51379,133.556866
岡山県,"小田郡, 矢掛町","岡山県, 小田郡, 矢掛町",34.627593,133.587085
岡山県,"真庭郡, 新庄村","岡山県, 真庭郡, 新庄村",35.179458,133.567734
岡山県,"苫田郡, 鏡野町","岡山県, 苫田郡, 鏡野町",35.091833,133.932799
岡山県,"勝田郡, 勝央町","岡山県, 勝田郡, 勝央町",35.04184,134.116183
岡山県,"勝田郡, 奈義町","岡山県, 勝田郡, 奈義町",35.123024,134.177425
岡山県,"英田郡, 西粟倉村","岡山県, 英田郡, 西粟倉村",35.171331,134.336273
岡山県,"久米郡, 久米南町","岡山県, 久米郡, 久米南町",34.929246,133.960687
岡山県,"久米郡, 美咲町","岡山県, 久米郡, 美咲町",34.997953,133.958163
岡山県,"加賀郡, 吉備中央町","岡山県, 加賀郡, 吉備中央町",34.860965,133.811806
