prefecture,city,prefectureAndCity,latitude,longitude
沖縄県,那覇市,"沖縄県, 那覇市",26.212312,127.679157
沖縄県,宜野湾市,"沖縄県, 宜野湾市",26.281575,127.778634
沖縄県,石垣市,"沖縄県, 石垣市",24.340661,124.15558
沖縄県,浦添市,"沖縄県, 浦添市",26.245816,127.721799
沖縄県,名護市,"沖縄県, 名護市",26.591547,127.977316
沖縄県,糸満市,"沖縄県, 糸満市",26.123584,127.665815
沖縄県,沖縄市,"沖縄県, 沖縄市",26.334427,127.805583
沖縄県,豊見城市,"沖縄県, 豊見城市",26.161006,127.668944
沖縄県,うるま市,"沖縄県, うるま市",26.427062,127.829081
沖縄県,宮古島市,"沖縄県, 宮古島市",24.80549,125.281149
沖縄県,南城市,"沖縄県, 南城市",26.144452,127.766967
沖縄県,"国頭郡, 国頭村","沖縄県, 国頭郡, 国頭村",26.745635,128.177907
沖縄県,"国頭郡, 大宜味村","沖縄県, 国頭郡, 大宜味村",26.701708,128.120164
沖縄県,"国頭郡, 東村","沖縄県, 国頭郡, 東村",26.633309,128.156911
沖縄県,"国頭郡, 今帰仁村","沖縄県, 国頭郡, 今帰仁村",26.682577,127.972628
沖縄県,"国頭郡, 本部町","沖縄県, 国頭郡, 本部町",26.657577,127.897831
沖縄県,"国頭郡, 恩納村","沖縄県, 国頭郡, 恩納村",26.4975,127.853557
沖縄県,"国頭郡, 宜野座村","沖縄県, 国頭郡, 宜野座村",26.481659,127.975589
沖縄県,"国頭郡, 金武町","沖縄県, 国頭郡, 金武町",26.456126,127.925936
沖縄県,"国頭郡, 伊江村","沖縄県, 国頭郡, 伊江村",26.713482,127.80707
沖縄県,"中頭郡, 読谷村","沖縄県, 中頭郡, 読谷村",26.396055,127.744277
沖縄県,"中頭郡, 嘉手納町","沖縄県, 中頭郡, 嘉手納町",26.361662,127.755322
沖縄県,"中頭郡, 北谷町","沖縄県, 中頭郡, 北谷町",26.320119,127.763776
沖縄県,"中頭郡, 北中城村","沖縄県, 中頭郡, 北中城村",26.30111,127.793149
沖縄県,"中頭郡, 中城村","沖縄県, 中頭郡, 中城村",26.267379,127.791126
沖縄県,"中頭郡, 西原町","沖縄県, 中頭郡, 西原町",26.222845,127.758811
沖縄県,"島尻郡, 与那原町","沖縄県, 島尻郡, 与那原町",26.199577,127.754768
沖縄県,"島尻郡, 南風原町","沖縄県, 島尻郡, 南風原町",26.191119,127.728551
沖縄県,"島尻郡, 渡嘉敷村","沖縄県, 島尻郡, 渡嘉敷村",26.197343,127.364286
沖縄県,"島尻郡, 座間味村","沖縄県, 島尻郡, 座間味村",26.228892,127.303157
沖縄県,"島尻郡, 粟国村","沖縄県, 島尻郡, 粟国村",26.58237,127.227187
沖縄県,"島尻郡, 渡名喜村","沖縄県, 島尻郡, 渡名喜村",26.372061,127.141021
沖縄県,"島尻郡, 南大東村","沖縄県, 島尻郡, 南大東村",25.828684,131.232015
沖縄県,"島尻郡, 北大東村","沖縄県, 島尻郡, 北大東村",25.945951,131.298994
沖縄県,"島尻郡, 伊平屋村","沖縄県, 島尻郡, 伊平屋村",27.039054,127.968666
沖縄県,"島尻郡, 伊是名村","沖縄県, 島尻郡, 伊是名村",26.928363,127.941209
沖縄県,"島尻郡, 久米島町","沖縄県, 島尻郡, 久米島町",26.349033,126.747248
沖縄県,"島尻郡, 八重瀬町","沖縄県, 島尻郡, 八重瀬町",26.121745,127.74253
沖縄県,"宮古郡, 多良間村","沖縄県, 宮古郡, 多良間村",24.669397,124.701668
沖縄県,"八重山郡, 竹富町","沖縄県, 八重山郡, 竹富町",24.286667,123.881667
沖縄県,"八重山郡, 与那国町","沖縄県, 八重山郡, 与那国町",24.467969,123.004453
