prefecture,city,prefectureAndCity,latitude,longitude
大阪府,"大阪市, 都島区","大阪府, 大阪市, 都島区",34.701279,135.52809
大阪府,"大阪市, 福島区","大阪府, 大阪市, 福島区",34.692337,135.472229
大阪府,"大阪市, 此花区","大阪府, 大阪市, 此花区",34.683049,135.452328
大阪府,"大阪市, 西区","大阪府, 大阪市, 西区",34.676231,135.486059
大阪府,"大阪市, 港区","大阪府, 大阪市, 港区",34.663918,135.460681
大阪府,"大阪市, 大正区","大阪府, 大阪市, 大正区",34.650403,135.4727
大阪府,"大阪市, 天王寺区","大阪府, 大阪市, 天王寺区",34.657917,135.519362
大阪府,"大阪市, 浪速区","大阪府, 大阪市, 浪速区",34.659444,135.49963
大阪府,"大阪市, 西淀川区","大阪府, 大阪市, 西淀川区",34.711348,135.456202
大阪府,"大阪市, 東淀川区","大阪府, 大阪市, 東淀川区",34.741214,135.529423
大阪府,"大阪市, 東成区","大阪府, 大阪市, 東成区",34.670002,135.541268
大阪府,"大阪市, 生野区","大阪府, 大阪市, 生野区",34.653751,135.534413
大阪府,"大阪市, 旭区","大阪府, 大阪市, 旭区",34.721177,135.54422
大阪府,"大阪市, 城東区","大阪府, 大阪市, 城東区",34.70189,135.545973
大阪府,"大阪市, 阿倍野区","大阪府, 大阪市, 阿倍野区",34.638969,135.518496
大阪府,"大阪市, 住吉区","大阪府, 大阪市, 住吉区",34.603673,135.500632
大阪府,"大阪市, 東住吉区","大阪府, 大阪市, 東住吉区",34.622163,135.526601
大阪府,"大阪市, 西成区","大阪府, 大阪市, 西成区",34.634872,135.494373
大阪府,"大阪市, 淀川区","大阪府, 大阪市, 淀川区",34.721026,135.486711
大阪府,"大阪市, 鶴見区","大阪府, 大阪市, 鶴見区",34.704329,135.574198
大阪府,"大阪市, 住之江区","大阪府, 大阪市, 住之江区",34.609675,135.482742
大阪府,"大阪市, 平野区","大阪府, 大阪市, 平野区",34.621199,135.546072
大阪府,"大阪市, 北区","大阪府, 大阪市, 北区",34.705362,135.510025
大阪府,"大阪市, 中央区","大阪府, 大阪市, 中央区",34.681261,135.509801
大阪府,"堺市, 堺区","大阪府, 堺市, 堺区",34.573254,135.483101
大阪府,"堺市, 中区","大阪府, 堺市, 中区",34.528342,135.498636
大阪府,"堺市, 東区","大阪府, 堺市, 東区",34.538192,135.536591
大阪府,"堺市, 西区","大阪府, 堺市, 西区",34.534999,135.463972
大阪府,"堺市, 南区","大阪府, 堺市, 南区",34.486527,135.490568
大阪府,"堺市, 北区","大阪府, 堺市, 北区",34.56535,135.517178
大阪府,"堺市, 美原区","大阪府, 堺市, 美原区",34.538545,135.559833
大阪府,岸和田市,"大阪府, 岸和田市",34.460634,135.370829
大阪府,豊中市,"大阪府, 豊中市",34.781266,135.469739
大阪府,池田市,"大阪府, 池田市",34.821705,135.428444
大阪府,吹田市,"大阪府, 吹田市",34.759453,135.51686
大阪府,泉大津市,"大阪府, 泉大津市",34.504279,135.410464
大阪府,高槻市,"大阪府, 高槻市",34.846159,135.617272
大阪府,貝塚市,"大阪府, 貝塚市",34.437584,135.358517
大阪府,守口市,"大阪府, 守口市",34.737695,135.563904
大阪府,枚方市,"大阪府, 枚方市",34.81434,135.650658
大阪府,茨木市,"大阪府, 茨木市",34.816338,135.568505
大阪府,八尾市,"大阪府, 八尾市",34.626864,135.600978
大阪府,泉佐野市,"大阪府, 泉佐野市",34.406848,135.327337
大阪府,富田林市,"大阪府, 富田林市",34.499527,135.597128
大阪府,寝屋川市,"大阪府, 寝屋川市",34.766093,135.6281
大阪府,河内長野市,"大阪府, 河内長野市",34.458084,135.564226
大阪府,松原市,"大阪府, 松原市",34.577879,135.55185
大阪府,大東市,"大阪府, 大東市",34.712015,135.623659
大阪府,和泉市,"大阪府, 和泉市",34.483527,135.423557
大阪府,箕面市,"大阪府, 箕面市",34.82693,135.470463
大阪府,柏原市,"大阪府, 柏原市",34.579305,135.628642
大阪府,羽曳野市,"大阪府, 羽曳野市",34.558035,135.606212
大阪府,門真市,"大阪府, 門真市",34.739542,135.58689
大阪府,摂津市,"大阪府, 摂津市",34.777356,135.561817
大阪府,高石市,"大阪府, 高石市",34.520717,135.442452
大阪府,藤井寺市,"大阪府, 藤井寺市",34.574277,135.597474
大阪府,東大阪市,"大阪府, 東大阪市",34.67933,135.601012
大阪府,泉南市,"大阪府, 泉南市",34.366005,135.273339
大阪府,四條畷市,"大阪府, 四條畷市",34.739941,135.639533
大阪府,交野市,"大阪府, 交野市",34.787944,135.679953
大阪府,大阪狭山市,"大阪府, 大阪狭山市",34.503795,135.555693
大阪府,阪南市,"大阪府, 阪南市",34.359583,135.23967
大阪府,"三島郡, 島本町","大阪府, 三島郡, 島本町",34.883925,135.66297
大阪府,"豊能郡, 豊能町","大阪府, 豊能郡, 豊能町",34.918948,135.494174
大阪府,"豊能郡, 能勢町","大阪府, 豊能郡, 能勢町",34.972551,135.414274
大阪府,"泉北郡, 忠岡町","大阪府, 泉北郡, 忠岡町",34.487093,135.401323
大阪府,"泉南郡, 熊取町","大阪府, 泉南郡, 熊取町",34.401283,135.355785
大阪府,"泉南郡, 田尻町","大阪府, 泉南郡, 田尻町",34.393774,135.291174
大阪府,"泉南郡, 岬町","大阪府, 泉南郡, 岬町",34.316978,135.142139
大阪府,"南河内郡, 太子町","大阪府, 南河内郡, 太子町",34.518682,135.647661
大阪府,"南河内郡, 河南町","大阪府, 南河内郡, 河南町",34.491637,135.629699
大阪府,"南河内郡, 千早赤阪村","大阪府, 南河内郡, 千早赤阪村",34.464587,135.622537
