prefecture,city,prefectureAndCity,latitude,longitude
佐賀県,佐賀市,"佐賀県, 佐賀市",33.263482,130.300858
佐賀県,唐津市,"佐賀県, 唐津市",33.450174,129.968134
佐賀県,鳥栖市,"佐賀県, 鳥栖市",33.377755,130.506258
佐賀県,多久市,"佐賀県, 多久市",33.28851,130.110061
佐賀県,伊万里市,"佐賀県, 伊万里市",33.264586,129.880269
佐賀県,武雄市,"佐賀県, 武雄市",33.193749,130.019151
佐賀県,鹿島市,"佐賀県, 鹿島市",33.103724,130.098769
佐賀県,小城市,"佐賀県, 小城市",33.273665,130.216864
佐賀県,嬉野市,"佐賀県, 嬉野市",33.128084,130.060114
佐賀県,神埼市,"佐賀県, 神埼市",33.310763,130.37306
佐賀県,"神埼郡, 吉野ヶ里町","佐賀県, 神埼郡, 吉野ヶ里町",33.351679,130.398357
佐賀県,"三養基郡, 基山町","佐賀県, 三養基郡, 基山町",33.426852,130.522813
佐賀県,"三養基郡, 上峰町","佐賀県, 三養基郡, 上峰町",33.319626,130.426134
佐賀県,"三養基郡, みやき町","佐賀県, 三養基郡, みやき町",33.324982,130.454698
佐賀県,"東松浦郡, 玄海町","佐賀県, 東松浦郡, 玄海町",33.472183,129.874698
佐賀県,"西松浦郡, 有田町","佐賀県, 西松浦郡, 有田町",33.210563,129.849217
佐賀県,"杵島郡, 大町町","佐賀県, 杵島郡, 大町町",33.213754,130.116084
佐賀県,"杵島郡, 江北町","佐賀県, 杵島郡, 江北町",33.220592,130.157528
佐賀県,"杵島郡, 白石町","佐賀県, 杵島郡, 白石町",33.181035,130.143496
佐賀県,"藤津郡, 太良町","佐賀県, 藤津郡, 太良町",33.019407,130.178974
