prefecture,city,prefectureAndCity,latitude,longitude
埼玉県,"さいたま市, 西区","埼玉県, さいたま市, 西区",35.925302,139.579472
埼玉県,"さいたま市, 北区","埼玉県, さいたま市, 北区",35.931522,139.620346
埼玉県,"さいたま市, 大宮区","埼玉県, さいたま市, 大宮区",35.906487,139.628754
埼玉県,"さいたま市, 見沼区","埼玉県, さいたま市, 見沼区",35.935206,139.654526
埼玉県,"さいたま市, 中央区","埼玉県, さいたま市, 中央区",35.884096,139.626102
埼玉県,"さいたま市, 桜区","埼玉県, さいたま市, 桜区",35.85614,139.610352
埼玉県,"さいたま市, 浦和区","埼玉県, さいたま市, 浦和区",35.861651,139.645435
埼玉県,"さいたま市, 南区","埼玉県, さいたま市, 南区",35.845253,139.645352
埼玉県,"さいたま市, 緑区","埼玉県, さいたま市, 緑区",35.871087,139.68397
埼玉県,"さいたま市, 岩槻区","埼玉県, さいたま市, 岩槻区",35.949861,139.694191
埼玉県,川越市,"埼玉県, 川越市",35.925101,139.485793
埼玉県,熊谷市,"埼玉県, 熊谷市",36.14731,139.388645
埼玉県,川口市,"埼玉県, 川口市",35.807738,139.724171
埼玉県,行田市,"埼玉県, 行田市",36.138949,139.455643
埼玉県,秩父市,"埼玉県, 秩父市",35.992055,139.084817
埼玉県,所沢市,"埼玉県, 所沢市",35.799672,139.46861
埼玉県,飯能市,"埼玉県, 飯能市",35.855731,139.327734
埼玉県,加須市,"埼玉県, 加須市",36.131438,139.601719
埼玉県,本庄市,"埼玉県, 本庄市",36.243568,139.190393
埼玉県,東松山市,"埼玉県, 東松山市",36.042126,139.399959
埼玉県,春日部市,"埼玉県, 春日部市",35.975198,139.752301
埼玉県,狭山市,"埼玉県, 狭山市",35.852942,139.412213
埼玉県,羽生市,"埼玉県, 羽生市",36.172626,139.548465
埼玉県,鴻巣市,"埼玉県, 鴻巣市",36.065758,139.522169
埼玉県,深谷市,"埼玉県, 深谷市",36.197444,139.281464
埼玉県,上尾市,"埼玉県, 上尾市",35.977381,139.593206
埼玉県,草加市,"埼玉県, 草加市",35.825355,139.805402
埼玉県,越谷市,"埼玉県, 越谷市",35.891084,139.790938
埼玉県,蕨市,"埼玉県, 蕨市",35.825634,139.679708
埼玉県,戸田市,"埼玉県, 戸田市",35.817616,139.677892
埼玉県,入間市,"埼玉県, 入間市",35.835766,139.391058
埼玉県,朝霞市,"埼玉県, 朝霞市",35.797252,139.593916
埼玉県,志木市,"埼玉県, 志木市",35.83675,139.580319
埼玉県,和光市,"埼玉県, 和光市",35.781208,139.605793
埼玉県,新座市,"埼玉県, 新座市",35.793511,139.565369
埼玉県,桶川市,"埼玉県, 桶川市",36.005779,139.542531
埼玉県,久喜市,"埼玉県, 久喜市",36.061995,139.666838
埼玉県,北本市,"埼玉県, 北本市",36.026768,139.530211
埼玉県,八潮市,"埼玉県, 八潮市",35.822536,139.839175
埼玉県,富士見市,"埼玉県, 富士見市",35.856759,139.549074
埼玉県,三郷市,"埼玉県, 三郷市",35.830149,139.872275
埼玉県,蓮田市,"埼玉県, 蓮田市",35.994307,139.662106
埼玉県,坂戸市,"埼玉県, 坂戸市",35.95717,139.402905
埼玉県,幸手市,"埼玉県, 幸手市",36.078072,139.725861
埼玉県,鶴ヶ島市,"埼玉県, 鶴ヶ島市",35.934515,139.393098
埼玉県,日高市,"埼玉県, 日高市",35.907796,139.339026
埼玉県,吉川市,"埼玉県, 吉川市",35.891152,139.841375
埼玉県,ふじみ野市,"埼玉県, ふじみ野市",35.879538,139.519764
埼玉県,白岡市,"埼玉県, 白岡市",36.019026,139.676925
埼玉県,"北足立郡, 伊奈町","埼玉県, 北足立郡, 伊奈町",36.000112,139.624185
埼玉県,"入間郡, 三芳町","埼玉県, 入間郡, 三芳町",35.828367,139.526432
埼玉県,"入間郡, 毛呂山町","埼玉県, 入間郡, 毛呂山町",35.941501,139.316067
埼玉県,"入間郡, 越生町","埼玉県, 入間郡, 越生町",35.964478,139.294199
埼玉県,"比企郡, 滑川町","埼玉県, 比企郡, 滑川町",36.065987,139.360917
埼玉県,"比企郡, 嵐山町","埼玉県, 比企郡, 嵐山町",36.056655,139.320542
埼玉県,"比企郡, 小川町","埼玉県, 比企郡, 小川町",36.056697,139.261845
埼玉県,"比企郡, 川島町","埼玉県, 比企郡, 川島町",35.982014,139.481518
埼玉県,"比企郡, 吉見町","埼玉県, 比企郡, 吉見町",36.039853,139.453728
埼玉県,"比企郡, 鳩山町","埼玉県, 比企郡, 鳩山町",35.981466,139.334101
埼玉県,"比企郡, ときがわ町","埼玉県, 比企郡, ときがわ町",36.00862,139.296844
埼玉県,"秩父郡, 横瀬町","埼玉県, 秩父郡, 横瀬町",35.987284,139.100046
埼玉県,"秩父郡, 皆野町","埼玉県, 秩父郡, 皆野町",36.07084,139.098754
埼玉県,"秩父郡, 長瀞町","埼玉県, 秩父郡, 長瀞町",36.114803,139.109717
埼玉県,"秩父郡, 小鹿野町","埼玉県, 秩父郡, 小鹿野町",36.017129,139.008574
埼玉県,"秩父郡, 東秩父村","埼玉県, 秩父郡, 東秩父村",36.058153,139.194607
埼玉県,"児玉郡, 美里町","埼玉県, 児玉郡, 美里町",36.177104,139.18141
埼玉県,"児玉郡, 神川町","埼玉県, 児玉郡, 神川町",36.213876,139.101776
埼玉県,"児玉郡, 上里町","埼玉県, 児玉郡, 上里町",36.251607,139.144826
埼玉県,"大里郡, 寄居町","埼玉県, 大里郡, 寄居町",36.118348,139.193012
埼玉県,"南埼玉郡, 宮代町","埼玉県, 南埼玉郡, 宮代町",36.022682,139.722885
埼玉県,"北葛飾郡, 杉戸町","埼玉県, 北葛飾郡, 杉戸町",36.025765,139.736709
埼玉県,"北葛飾郡, 松伏町","埼玉県, 北葛飾郡, 松伏町",35.925774,139.815178
