prefecture,city,prefectureAndCity,latitude,longitude
滋賀県,大津市,"滋賀県, 大津市",35.017893,135.854607
滋賀県,彦根市,"滋賀県, 彦根市",35.274461,136.259623
滋賀県,長浜市,"滋賀県, 長浜市",35.380815,136.278722
滋賀県,近江八幡市,"滋賀県, 近江八幡市",35.128339,136.097907
滋賀県,草津市,"滋賀県, 草津市",35.013134,135.959936
滋賀県,守山市,"滋賀県, 守山市",35.05894,135.994404
滋賀県,栗東市,"滋賀県, 栗東市",35.021617,135.997996
滋賀県,甲賀市,"滋賀県, 甲賀市",34.966139,136.167092
滋賀県,野洲市,"滋賀県, 野洲市",35.067454,136.02585
滋賀県,湖南市,"滋賀県, 湖南市",35.00415,136.084679
滋賀県,高島市,"滋賀県, 高島市",35.353071,136.03583
滋賀県,東近江市,"滋賀県, 東近江市",35.112456,136.207765
滋賀県,米原市,"滋賀県, 米原市",35.361585,136.370192
滋賀県,"蒲生郡, 日野町","滋賀県, 蒲生郡, 日野町",35.018003,136.246043
滋賀県,"蒲生郡, 竜王町","滋賀県, 蒲生郡, 竜王町",35.060803,136.124535
滋賀県,"愛知郡, 愛荘町","滋賀県, 愛知郡, 愛荘町",35.16894,136.212367
滋賀県,"犬上郡, 豊郷町","滋賀県, 犬上郡, 豊郷町",35.200343,136.229893
滋賀県,"犬上郡, 甲良町","滋賀県, 犬上郡, 甲良町",35.204119,136.261205
滋賀県,"犬上郡, 多賀町","滋賀県, 犬上郡, 多賀町",35.221996,136.292049
