prefecture,city,prefectureAndCity,latitude,longitude
静岡県,"静岡市, 葵区","静岡県, 静岡市, 葵区",34.97514,138.383243
静岡県,"静岡市, 駿河区","静岡県, 静岡市, 駿河区",34.960745,138.404039
静岡県,"静岡市, 清水区","静岡県, 静岡市, 清水区",35.015888,138.489528
静岡県,"浜松市, 中区","静岡県, 浜松市, 中区",34.710896,137.72594
静岡県,"浜松市, 東区","静岡県, 浜松市, 東区",34.741325,137.791772
静岡県,"浜松市, 西区","静岡県, 浜松市, 西区",34.69271,137.645317
静岡県,"浜松市, 南区","静岡県, 浜松市, 南区",34.667333,137.7523
静岡県,"浜松市, 北区","静岡県, 浜松市, 北区",34.806193,137.651023
静岡県,"浜松市, 浜北区","静岡県, 浜松市, 浜北区",34.793372,137.789925
静岡県,"浜松市, 天竜区","静岡県, 浜松市, 天竜区",34.872649,137.816265
静岡県,沼津市,"静岡県, 沼津市",35.095584,138.863493
静岡県,熱海市,"静岡県, 熱海市",35.096276,139.071705
静岡県,三島市,"静岡県, 三島市",35.118402,138.918513
静岡県,富士宮市,"静岡県, 富士宮市",35.222054,138.621643
静岡県,伊東市,"静岡県, 伊東市",34.965671,139.101936
静岡県,島田市,"静岡県, 島田市",34.836364,138.175997
静岡県,富士市,"静岡県, 富士市",35.161399,138.676273
静岡県,磐田市,"静岡県, 磐田市",34.717904,137.851513
静岡県,焼津市,"静岡県, 焼津市",34.86692,138.323189
静岡県,掛川市,"静岡県, 掛川市",34.768767,137.998168
静岡県,藤枝市,"静岡県, 藤枝市",34.867367,138.257458
静岡県,御殿場市,"静岡県, 御殿場市",35.308584,138.934506
静岡県,袋井市,"静岡県, 袋井市",34.750174,137.924679
静岡県,下田市,"静岡県, 下田市",34.679533,138.945316
静岡県,裾野市,"静岡県, 裾野市",35.173883,138.906729
静岡県,湖西市,"静岡県, 湖西市",34.718466,137.531626
静岡県,伊豆市,"静岡県, 伊豆市",34.976586,138.946704
静岡県,御前崎市,"静岡県, 御前崎市",34.637987,138.128127
静岡県,菊川市,"静岡県, 菊川市",34.757746,138.084582
静岡県,伊豆の国市,"静岡県, 伊豆の国市",35.027735,138.928921
静岡県,牧之原市,"静岡県, 牧之原市",34.740043,138.224652
静岡県,"賀茂郡, 東伊豆町","静岡県, 賀茂郡, 東伊豆町",34.772835,139.041311
静岡県,"賀茂郡, 河津町","静岡県, 賀茂郡, 河津町",34.757033,138.987538
静岡県,"賀茂郡, 南伊豆町","静岡県, 賀茂郡, 南伊豆町",34.651092,138.858527
静岡県,"賀茂郡, 松崎町","静岡県, 賀茂郡, 松崎町",34.752769,138.778726
静岡県,"賀茂郡, 西伊豆町","静岡県, 賀茂郡, 西伊豆町",34.771676,138.775356
静岡県,"田方郡, 函南町","静岡県, 田方郡, 函南町",35.088973,138.953366
静岡県,"駿東郡, 清水町","静岡県, 駿東郡, 清水町",35.099015,138.902717
静岡県,"駿東郡, 長泉町","静岡県, 駿東郡, 長泉町",35.13767,138.897178
静岡県,"駿東郡, 小山町","静岡県, 駿東郡, 小山町",35.360107,138.987298
静岡県,"榛原郡, 吉田町","静岡県, 榛原郡, 吉田町",34.77087,138.251993
静岡県,"榛原郡, 川根本町","静岡県, 榛原郡, 川根本町",35.046833,138.081695
静岡県,"周智郡, 森町","静岡県, 周智郡, 森町",34.835627,137.927019
