prefecture,city,prefectureAndCity,latitude,longitude
栃木県,宇都宮市,"栃木県, 宇都宮市",36.555112,139.882807
栃木県,足利市,"栃木県, 足利市",36.340151,139.449698
栃木県,栃木市,"栃木県, 栃木市",36.38238,139.734081
栃木県,佐野市,"栃木県, 佐野市",36.308578,139.593118
栃木県,鹿沼市,"栃木県, 鹿沼市",36.567111,139.745013
栃木県,日光市,"栃木県, 日光市",36.719903,139.698216
栃木県,小山市,"栃木県, 小山市",36.314671,139.800131
栃木県,真岡市,"栃木県, 真岡市",36.440419,140.013442
栃木県,大田原市,"栃木県, 大田原市",36.871484,140.017419
栃木県,矢板市,"栃木県, 矢板市",36.806686,139.924054
栃木県,那須塩原市,"栃木県, 那須塩原市",36.961698,140.046066
栃木県,さくら市,"栃木県, さくら市",36.685301,139.966452
栃木県,那須烏山市,"栃木県, 那須烏山市",36.656893,140.151426
栃木県,下野市,"栃木県, 下野市",36.387195,139.841967
栃木県,"河内郡, 上三川町","栃木県, 河内郡, 上三川町",36.439296,139.909884
栃木県,"芳賀郡, 益子町","栃木県, 芳賀郡, 益子町",36.467353,140.093378
栃木県,"芳賀郡, 茂木町","栃木県, 芳賀郡, 茂木町",36.53212,140.187565
栃木県,"芳賀郡, 市貝町","栃木県, 芳賀郡, 市貝町",36.543308,140.102046
栃木県,"芳賀郡, 芳賀町","栃木県, 芳賀郡, 芳賀町",36.548323,140.058196
栃木県,"下都賀郡, 壬生町","栃木県, 下都賀郡, 壬生町",36.427058,139.803932
栃木県,"下都賀郡, 野木町","栃木県, 下都賀郡, 野木町",36.233251,139.74075
栃木県,"塩谷郡, 塩谷町","栃木県, 塩谷郡, 塩谷町",36.777613,139.85057
栃木県,"塩谷郡, 高根沢町","栃木県, 塩谷郡, 高根沢町",36.630973,139.986684
栃木県,"那須郡, 那須町","栃木県, 那須郡, 那須町",37.019731,140.121017
栃木県,"那須郡, 那珂川町","栃木県, 那須郡, 那珂川町",36.761661,140.130072
