prefecture,city,prefectureAndCity,latitude,longitude
徳島県,徳島市,"徳島県, 徳島市",34.07027,134.554844
徳島県,鳴門市,"徳島県, 鳴門市",34.172562,134.608786
徳島県,小松島市,"徳島県, 小松島市",34.004711,134.590674
徳島県,阿南市,"徳島県, 阿南市",33.921748,134.659469
徳島県,吉野川市,"徳島県, 吉野川市",34.025689,134.259833
徳島県,阿波市,"徳島県, 阿波市",34.102148,134.297437
徳島県,美馬市,"徳島県, 美馬市",34.053403,134.169749
徳島県,三好市,"徳島県, 三好市",34.026041,133.807263
徳島県,"勝浦郡, 勝浦町","徳島県, 勝浦郡, 勝浦町",33.931408,134.511356
徳島県,"勝浦郡, 上勝町","徳島県, 勝浦郡, 上勝町",33.889162,134.402051
徳島県,"名東郡, 佐那河内村","徳島県, 名東郡, 佐那河内村",33.993208,134.453122
徳島県,"名西郡, 石井町","徳島県, 名西郡, 石井町",34.074173,134.44069
徳島県,"名西郡, 神山町","徳島県, 名西郡, 神山町",33.967291,134.350461
徳島県,"那賀郡, 那賀町","徳島県, 那賀郡, 那賀町",33.820626,134.47883
徳島県,"海部郡, 牟岐町","徳島県, 海部郡, 牟岐町",33.668407,134.420555
徳島県,"海部郡, 美波町","徳島県, 海部郡, 美波町",33.734553,134.535444
徳島県,"海部郡, 海陽町","徳島県, 海部郡, 海陽町",33.602029,134.351997
徳島県,"板野郡, 松茂町","徳島県, 板野郡, 松茂町",34.133768,134.580556
徳島県,"板野郡, 北島町","徳島県, 板野郡, 北島町",34.125578,134.546987
徳島県,"板野郡, 藍住町","徳島県, 板野郡, 藍住町",34.126587,134.49509
徳島県,"板野郡, 板野町","徳島県, 板野郡, 板野町",34.144363,134.462618
徳島県,"板野郡, 上板町","徳島県, 板野郡, 上板町",34.121384,134.404816
徳島県,"美馬郡, つるぎ町","徳島県, 美馬郡, つるぎ町",34.037335,134.064074
徳島県,"三好郡, 東みよし町","徳島県, 三好郡, 東みよし町",34.036783,133.936757
