prefecture,city,prefectureAndCity,latitude,longitude
東京都,千代田区,"東京都, 千代田区",35.694003,139.753595
東京都,中央区,"東京都, 中央区",35.670651,139.771861
東京都,港区,"東京都, 港区",35.658068,139.751599
東京都,新宿区,"東京都, 新宿区",35.69384,139.703549
東京都,文京区,"東京都, 文京区",35.708068,139.752167
東京都,台東区,"東京都, 台東区",35.712607,139.779996
東京都,墨田区,"東京都, 墨田区",35.710722,139.801497
東京都,江東区,"東京都, 江東区",35.672854,139.81741
東京都,品川区,"東京都, 品川区",35.609226,139.730186
東京都,目黒区,"東京都, 目黒区",35.641463,139.698171
東京都,大田区,"東京都, 大田区",35.561257,139.716051
東京都,世田谷区,"東京都, 世田谷区",35.646572,139.653247
東京都,渋谷区,"東京都, 渋谷区",35.661777,139.704051
東京都,中野区,"東京都, 中野区",35.707399,139.663835
東京都,杉並区,"東京都, 杉並区",35.699566,139.636438
東京都,豊島区,"東京都, 豊島区",35.726118,139.716605
東京都,北区,"東京都, 北区",35.752804,139.733481
東京都,荒川区,"東京都, 荒川区",35.73608,139.783369
東京都,板橋区,"東京都, 板橋区",35.751165,139.709244
東京都,練馬区,"東京都, 練馬区",35.735623,139.651658
東京都,足立区,"東京都, 足立区",35.775664,139.804479
東京都,葛飾区,"東京都, 葛飾区",35.743575,139.84718
東京都,江戸川区,"東京都, 江戸川区",35.706657,139.868427
東京都,八王子市,"東京都, 八王子市",35.666339,139.315806
東京都,立川市,"東京都, 立川市",35.714014,139.407843
東京都,武蔵野市,"東京都, 武蔵野市",35.717784,139.56626
東京都,三鷹市,"東京都, 三鷹市",35.683513,139.559584
東京都,青梅市,"東京都, 青梅市",35.787996,139.27583
東京都,府中市,"東京都, 府中市",35.668974,139.477661
東京都,昭島市,"東京都, 昭島市",35.705755,139.353548
東京都,調布市,"東京都, 調布市",35.650615,139.540694
東京都,町田市,"東京都, 町田市",35.546631,139.438619
東京都,小金井市,"東京都, 小金井市",35.699473,139.502992
東京都,小平市,"東京都, 小平市",35.728577,139.477456
東京都,日野市,"東京都, 日野市",35.671337,139.394926
東京都,東村山市,"東京都, 東村山市",35.754597,139.468489
東京都,国分寺市,"東京都, 国分寺市",35.710335,139.463191
東京都,国立市,"東京都, 国立市",35.683885,139.44138
東京都,福生市,"東京都, 福生市",35.738451,139.326932
東京都,狛江市,"東京都, 狛江市",35.634912,139.578733
東京都,東大和市,"東京都, 東大和市",35.745369,139.426593
東京都,清瀬市,"東京都, 清瀬市",35.785753,139.52643
東京都,東久留米市,"東京都, 東久留米市",35.758048,139.529739
東京都,武蔵村山市,"東京都, 武蔵村山市",35.754861,139.387399
東京都,多摩市,"東京都, 多摩市",35.637004,139.446307
東京都,稲城市,"東京都, 稲城市",35.637924,139.504567
東京都,羽村市,"東京都, 羽村市",35.767222,139.310944
東京都,あきる野市,"東京都, あきる野市",35.72892,139.294119
東京都,西東京市,"東京都, 西東京市",35.725496,139.538156
東京都,"西多摩郡, 瑞穂町","東京都, 西多摩郡, 瑞穂町",35.772036,139.353846
東京都,"西多摩郡, 日の出町","東京都, 西多摩郡, 日の出町",35.742142,139.257444
東京都,"西多摩郡, 檜原村","東京都, 西多摩郡, 檜原村",35.726839,139.148866
東京都,"西多摩郡, 奥多摩町","東京都, 西多摩郡, 奥多摩町",35.809543,139.096197
東京都,大島町,"東京都, 大島町",34.75004,139.355579
東京都,利島村,"東京都, 利島村",34.529364,139.282585
東京都,新島村,"東京都, 新島村",34.377134,139.256571
東京都,神津島村,"東京都, 神津島村",34.205267,139.134255
東京都,三宅村,"東京都, 三宅村",34.075774,139.479744
東京都,御蔵島村,"東京都, 御蔵島村",33.897366,139.596116
東京都,八丈町,"東京都, 八丈町",33.11274,139.789065
東京都,青ヶ島村,"東京都, 青ヶ島村",32.466459,139.763312
東京都,小笠原村,"東京都, 小笠原村",27.094366,142.191918
