prefecture,city,prefectureAndCity,latitude,longitude
鳥取県,鳥取市,"鳥取県, 鳥取市",35.501133,134.235091
鳥取県,米子市,"鳥取県, 米子市",35.428072,133.330945
鳥取県,倉吉市,"鳥取県, 倉吉市",35.430179,133.825561
鳥取県,境港市,"鳥取県, 境港市",35.539592,133.231486
鳥取県,"岩美郡, 岩美町","鳥取県, 岩美郡, 岩美町",35.575993,134.33209
鳥取県,"八頭郡, 若桜町","鳥取県, 八頭郡, 若桜町",35.34017,134.400997
鳥取県,"八頭郡, 智頭町","鳥取県, 八頭郡, 智頭町",35.26505,134.226612
鳥取県,八頭町,"鳥取県, 八頭町",35.409207,134.250526
鳥取県,"東伯郡, 三朝町","鳥取県, 東伯郡, 三朝町",35.408508,133.862306
鳥取県,"東伯郡, 湯梨浜町","鳥取県, 東伯郡, 湯梨浜町",35.489959,133.864781
鳥取県,"東伯郡, 琴浦町","鳥取県, 東伯郡, 琴浦町",35.495398,133.693278
鳥取県,"東伯郡, 北栄町","鳥取県, 東伯郡, 北栄町",35.49003,133.758355
鳥取県,"西伯郡, 日吉津村","鳥取県, 西伯郡, 日吉津村",35.440207,133.380788
鳥取県,"西伯郡, 大山町","鳥取県, 西伯郡, 大山町",35.510737,133.496114
鳥取県,"西伯郡, 南部町","鳥取県, 西伯郡, 南部町",35.370784,133.361891
鳥取県,"西伯郡, 伯耆町","鳥取県, 西伯郡, 伯耆町",35.385333,133.407164
鳥取県,"日野郡, 日南町","鳥取県, 日野郡, 日南町",35.163294,133.306233
鳥取県,"日野郡, 日野町","鳥取県, 日野郡, 日野町",35.240791,133.442786
鳥取県,"日野郡, 江府町","鳥取県, 日野郡, 江府町",35.283187,133.488561
