prefecture,city,prefectureAndCity,latitude,longitude
富山県,富山市,"富山県, 富山市",36.695952,137.213677
富山県,高岡市,"富山県, 高岡市",36.754096,137.025728
富山県,魚津市,"富山県, 魚津市",36.827367,137.409215
富山県,氷見市,"富山県, 氷見市",36.855981,136.972849
富山県,滑川市,"富山県, 滑川市",36.764378,137.341191
富山県,黒部市,"富山県, 黒部市",36.871508,137.44803
富山県,砺波市,"富山県, 砺波市",36.647534,136.962009
富山県,小矢部市,"富山県, 小矢部市",36.675575,136.868622
富山県,南砺市,"富山県, 南砺市",36.557513,136.875336
富山県,射水市,"富山県, 射水市",36.782455,137.079614
富山県,"中新川郡, 舟橋村","富山県, 中新川郡, 舟橋村",36.703531,137.307377
富山県,"中新川郡, 上市町","富山県, 中新川郡, 上市町",36.698414,137.36238
富山県,"中新川郡, 立山町","富山県, 中新川郡, 立山町",36.663522,137.313697
富山県,"下新川郡, 入善町","富山県, 下新川郡, 入善町",36.933511,137.502045
富山県,"下新川郡, 朝日町","富山県, 下新川郡, 朝日町",36.94619,137.559943
