prefecture,city,prefectureAndCity,latitude,longitude
和歌山県,和歌山市,"和歌山県, 和歌山市",34.230511,135.170808
和歌山県,海南市,"和歌山県, 海南市",34.155336,135.209223
和歌山県,橋本市,"和歌山県, 橋本市",34.315053,135.605296
和歌山県,有田市,"和歌山県, 有田市",34.083095,135.127635
和歌山県,御坊市,"和歌山県, 御坊市",33.891492,135.152346
和歌山県,田辺市,"和歌山県, 田辺市",33.728034,135.377768
和歌山県,新宮市,"和歌山県, 新宮市",33.724108,135.992955
和歌山県,紀の川市,"和歌山県, 紀の川市",34.26986,135.362757
和歌山県,岩出市,"和歌山県, 岩出市",34.256295,135.311323
和歌山県,"海草郡, 紀美野町","和歌山県, 海草郡, 紀美野町",34.167225,135.307489
和歌山県,"伊都郡, かつらぎ町","和歌山県, 伊都郡, かつらぎ町",34.296396,135.503836
和歌山県,"伊都郡, 九度山町","和歌山県, 伊都郡, 九度山町",34.287169,135.562245
和歌山県,"伊都郡, 高野町","和歌山県, 伊都郡, 高野町",34.216069,135.586536
和歌山県,"有田郡, 湯浅町","和歌山県, 有田郡, 湯浅町",34.029394,135.190452
和歌山県,"有田郡, 広川町","和歌山県, 有田郡, 広川町",34.030032,135.172993
和歌山県,"有田郡, 有田川町","和歌山県, 有田郡, 有田川町",34.065322,135.254432
和歌山県,"日高郡, 美浜町","和歌山県, 日高郡, 美浜町",33.893756,135.133101
和歌山県,"日高郡, 日高町","和歌山県, 日高郡, 日高町",33.92573,135.140883
和歌山県,"日高郡, 由良町","和歌山県, 日高郡, 由良町",33.959223,135.118349
和歌山県,"日高郡, 印南町","和歌山県, 日高郡, 印南町",33.818367,135.218247
和歌山県,"日高郡, みなべ町","和歌山県, 日高郡, みなべ町",33.772324,135.321442
和歌山県,"日高郡, 日高川町","和歌山県, 日高郡, 日高川町",33.911783,135.185875
和歌山県,"西牟婁郡, 白浜町","和歌山県, 西牟婁郡, 白浜町",33.678165,135.348134
和歌山県,"西牟婁郡, 上富田町","和歌山県, 西牟婁郡, 上富田町",33.696366,135.42883
和歌山県,"西牟婁郡, すさみ町","和歌山県, 西牟婁郡, すさみ町",33.550151,135.49664
和歌山県,"東牟婁郡, 那智勝浦町","和歌山県, 東牟婁郡, 那智勝浦町",33.62595,135.941067
和歌山県,"東牟婁郡, 太地町","和歌山県, 東牟婁郡, 太地町",33.594031,135.943962
和歌山県,"東牟婁郡, 古座川町","和歌山県, 東牟婁郡, 古座川町",33.53184,135.814802
和歌山県,"東牟婁郡, 北山村","和歌山県, 東牟婁郡, 北山村",33.932097,135.969207
和歌山県,"東牟婁郡, 串本町","和歌山県, 東牟婁郡, 串本町",33.47247,135.781498
