prefecture,city,prefectureAndCity,latitude,longitude
山形県,山形市,"山形県, 山形市",38.255439,140.339602
山形県,米沢市,"山形県, 米沢市",37.92224,140.116781
山形県,鶴岡市,"山形県, 鶴岡市",38.727197,139.826731
山形県,酒田市,"山形県, 酒田市",38.914433,139.836515
山形県,新庄市,"山形県, 新庄市",38.765015,140.301608
山形県,寒河江市,"山形県, 寒河江市",38.380964,140.275967
山形県,上山市,"山形県, 上山市",38.149562,140.267827
山形県,村山市,"山形県, 村山市",38.483344,140.380372
山形県,長井市,"山形県, 長井市",38.107494,140.040524
山形県,天童市,"山形県, 天童市",38.362265,140.377886
山形県,東根市,"山形県, 東根市",38.431354,140.39109
山形県,尾花沢市,"山形県, 尾花沢市",38.600622,140.405691
山形県,南陽市,"山形県, 南陽市",38.055141,140.148375
山形県,"東村山郡, 山辺町","山形県, 東村山郡, 山辺町",38.289114,140.262178
山形県,"東村山郡, 中山町","山形県, 東村山郡, 中山町",38.333114,140.283034
山形県,"西村山郡, 河北町","山形県, 西村山郡, 河北町",38.426271,140.314284
山形県,"西村山郡, 西川町","山形県, 西村山郡, 西川町",38.426499,140.147347
山形県,"西村山郡, 朝日町","山形県, 西村山郡, 朝日町",38.299248,140.145926
山形県,"西村山郡, 大江町","山形県, 西村山郡, 大江町",38.380648,140.207013
山形県,"北村山郡, 大石田町","山形県, 北村山郡, 大石田町",38.593863,140.37268
山形県,"最上郡, 金山町","山形県, 最上郡, 金山町",38.883357,140.339456
山形県,"最上郡, 最上町","山形県, 最上郡, 最上町",38.758387,140.519354
山形県,"最上郡, 舟形町","山形県, 最上郡, 舟形町",38.691444,140.319776
山形県,"最上郡, 真室川町","山形県, 最上郡, 真室川町",38.857859,140.252301
山形県,"最上郡, 大蔵村","山形県, 最上郡, 大蔵村",38.704182,140.230374
山形県,"最上郡, 鮭川村","山形県, 最上郡, 鮭川村",38.796457,140.222052
山形県,"最上郡, 戸沢村","山形県, 最上郡, 戸沢村",38.737473,140.143804
山形県,"東置賜郡, 高畠町","山形県, 東置賜郡, 高畠町",38.002736,140.18916
山形県,"東置賜郡, 川西町","山形県, 東置賜郡, 川西町",38.004479,140.04579
山形県,"西置賜郡, 小国町","山形県, 西置賜郡, 小国町",38.061627,139.743364
山形県,"西置賜郡, 白鷹町","山形県, 西置賜郡, 白鷹町",38.183095,140.098438
山形県,"西置賜郡, 飯豊町","山形県, 西置賜郡, 飯豊町",38.045827,139.987529
山形県,"東田川郡, 三川町","山形県, 東田川郡, 三川町",38.794487,139.849696
山形県,"東田川郡, 庄内町","山形県, 東田川郡, 庄内町",38.849915,139.904745
山形県,"飽海郡, 遊佐町","山形県, 飽海郡, 遊佐町",39.014616,139.907352
