prefecture,city,prefectureAndCity,latitude,longitude
山口県,下関市,"山口県, 下関市",33.957831,130.941459
山口県,宇部市,"山口県, 宇部市",33.951509,131.246786
山口県,山口市,"山口県, 山口市",34.178496,131.473727
山口県,萩市,"山口県, 萩市",34.408116,131.399085
山口県,防府市,"山口県, 防府市",34.051752,131.56269
山口県,下松市,"山口県, 下松市",34.01503,131.870342
山口県,岩国市,"山口県, 岩国市",34.166562,132.218848
山口県,光市,"山口県, 光市",33.961913,131.942282
山口県,長門市,"山口県, 長門市",34.370956,131.182195
山口県,柳井市,"山口県, 柳井市",33.963833,132.101597
山口県,美祢市,"山口県, 美祢市",34.166635,131.205678
山口県,周南市,"山口県, 周南市",34.055119,131.806186
山口県,山陽小野田市,"山口県, 山陽小野田市",34.003064,131.181967
山口県,"大島郡, 周防大島町","山口県, 大島郡, 周防大島町",33.927595,132.195234
山口県,"玖珂郡, 和木町","山口県, 玖珂郡, 和木町",34.202406,132.220408
山口県,"熊毛郡, 上関町","山口県, 熊毛郡, 上関町",33.830976,132.110743
山口県,"熊毛郡, 田布施町","山口県, 熊毛郡, 田布施町",33.954703,132.041373
山口県,"熊毛郡, 平生町","山口県, 熊毛郡, 平生町",33.937988,132.073052
山口県,"阿武郡, 阿武町","山口県, 阿武郡, 阿武町",34.503335,131.471399
