prefecture,city,prefectureAndCity,latitude,longitude
山梨県,甲府市,"山梨県, 甲府市",35.66228,138.568202
山梨県,富士吉田市,"山梨県, 富士吉田市",35.487497,138.807854
山梨県,都留市,"山梨県, 都留市",35.55168,138.905473
山梨県,山梨市,"山梨県, 山梨市",35.693394,138.686914
山梨県,大月市,"山梨県, 大月市",35.610485,138.940028
山梨県,韮崎市,"山梨県, 韮崎市",35.708897,138.446127
山梨県,南アルプス市,"山梨県, 南アルプス市",35.608328,138.464966
山梨県,北杜市,"山梨県, 北杜市",35.77653,138.423781
山梨県,甲斐市,"山梨県, 甲斐市",35.686259,138.487257
山梨県,笛吹市,"山梨県, 笛吹市",35.64736,138.639786
山梨県,上野原市,"山梨県, 上野原市",35.630259,139.108599
山梨県,甲州市,"山梨県, 甲州市",35.704316,138.729404
山梨県,中央市,"山梨県, 中央市",35.599629,138.517272
山梨県,"西八代郡, 市川三郷町","山梨県, 西八代郡, 市川三郷町",35.565303,138.502369
山梨県,"南巨摩郡, 早川町","山梨県, 南巨摩郡, 早川町",35.412917,138.362759
山梨県,"南巨摩郡, 身延町","山梨県, 南巨摩郡, 身延町",35.467494,138.44246
山梨県,"南巨摩郡, 南部町","山梨県, 南巨摩郡, 南部町",35.242352,138.486109
山梨県,"南巨摩郡, 富士川町","山梨県, 南巨摩郡, 富士川町",35.561156,138.461384
山梨県,"中巨摩郡, 昭和町","山梨県, 中巨摩郡, 昭和町",35.627926,138.535142
山梨県,"南都留郡, 道志村","山梨県, 南都留郡, 道志村",35.527956,139.033379
山梨県,"南都留郡, 西桂町","山梨県, 南都留郡, 西桂町",35.524069,138.846891
山梨県,"南都留郡, 忍野村","山梨県, 南都留郡, 忍野村",35.460098,138.847861
山梨県,"南都留郡, 山中湖村","山梨県, 南都留郡, 山中湖村",35.410645,138.860917
山梨県,"南都留郡, 鳴沢村","山梨県, 南都留郡, 鳴沢村",35.481392,138.706362
山梨県,"南都留郡, 富士河口湖町","山梨県, 南都留郡, 富士河口湖町",35.497314,138.755084
山梨県,"北都留郡, 小菅村","山梨県, 北都留郡, 小菅村",35.760124,138.940161
山梨県,"北都留郡, 丹波山村","山梨県, 北都留郡, 丹波山村",35.789712,138.922231
